Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.151 0.186 91.706 109.223 0.016 23.357 5.000 60.000 29.762 
0.151 0.187 109.256 137.521 0.016 23.357 7.000 80.000 36.069 
0.151 0.186 138.267 205.236 0.016 100.000 4.000 100.000 53.010 
0.151 0.187 205.625 275.030 0.010 23.357 20.000 100.000 75.612 
0.151 0.187 275.320 354.592 0.016 37.927 20.000 200.000 98.591 
0.151 0.187 354.950 458.856 0.010 23.357 20.000 200.000 120.037 
0.151 0.187 460.608 631.926 0.010 37.927 30.000 300.000 134.743 
0.151 0.187 632.854 886.613 0.010 61.585 40.000 400.000 224.862 
0.151 0.187 889.082 1415.032 0.010 61.585 40.000 700.000 306.811 
0.151 0.187 1417.938 2404.042 0.010 61.585 70.000 1000.000 415.300 
0.151 0.186 2407.860 3579.987 0.010 100.000 80.000 1000.000 973.201 
0.151 0.186 3586.111 4997.707 0.016 23.357 200.000 1000.000 1369.845 
0.187 0.229 2.218 13.733 0.016 23.357 1.000 7.000 2.838 
0.187 0.229 13.762 24.817 0.016 23.357 1.000 10.000 6.945 
0.187 0.229 24.959 35.845 0.016 23.357 2.000 20.000 11.112 
0.187 0.229 35.959 45.819 0.016 37.927 2.000 20.000 15.884 
0.187 0.229 45.863 54.600 0.016 37.927 2.000 30.000 18.077 
0.187 0.229 54.734 63.520 0.016 23.357 3.000 30.000 18.098 
0.187 0.229 63.535 72.970 0.016 23.357 3.000 40.000 24.741 
0.187 0.229 72.996 85.192 0.016 23.357 4.000 40.000 26.699 
0.187 0.229 85.262 101.394 0.026 23.357 5.000 50.000 31.418 
0.187 0.229 101.465 128.731 0.026 23.357 7.000 70.000 39.418 
0.187 0.229 129.011 187.665 0.016 23.357 8.000 100.000 54.332 
0.187 0.229 187.948 256.019 0.016 14.384 20.000 100.000 85.190 
0.187 0.229 256.338 336.541 0.016 23.357 20.000 100.000 99.548 
0.187 0.229 336.580 444.626 0.016 23.357 20.000 200.000 129.634 
0.187 0.229 444.657 612.322 0.010 37.927 30.000 300.000 176.193 
0.187 0.229 613.365 861.945 0.010 23.357 40.000 400.000 240.377 
0.187 0.229 863.450 1393.113 0.016 100.000 40.000 700.000 359.544 
0.187 0.229 1400.933 2393.946 0.016 37.927 70.000 1000.000 694.561 
0.187 0.229 2394.460 3558.045 0.010 61.585 80.000 1000.000 1074.127 
0.187 0.229 3566.947 4999.832 0.010 23.357 200.000 1000.000 1540.626 
0.229 0.279 1.744 13.789 0.026 23.357 1.000 6.000 3.919 
0.229 0.279 13.840 24.551 0.016 23.357 1.000 10.000 6.866 
0.229 0.278 24.611 33.797 0.016 23.357 2.000 10.000 12.508 
0.229 0.279 33.898 42.236 0.016 23.357 2.000 20.000 16.242 
0.229 0.279 42.282 50.477 0.026 14.384 3.000 20.000 19.495 
0.229 0.279 50.582 59.070 0.026 23.357 3.000 20.000 22.658 
0.229 0.279 59.082 68.185 0.026 14.384 4.000 40.000 25.691 
0.229 0.279 68.294 79.794 0.026 37.927 4.000 40.000 29.053 
0.229 0.279 79.888 95.327 0.026 37.927 4.000 40.000 30.477 
0.229 0.279 95.361 121.024 0.026 23.357 4.000 70.000 45.360 
0.229 0.279 121.282 174.910 0.026 100.000 3.000 90.000 56.419 
0.229 0.279 175.696 241.894 0.026 100.000 4.000 100.000 81.401 
0.229 0.279 241.977 325.088 0.026 23.357 20.000 200.000 110.193 
0.229 0.279 326.451 431.237 0.016 23.357 20.000 200.000 157.964 
0.229 0.279 431.889 595.333 0.016 23.357 30.000 200.000 213.450 
0.229 0.279 597.209 843.943 0.016 37.927 40.000 500.000 286.552 
0.229 0.279 844.538 1393.645 0.016 37.927 40.000 700.000 398.278 
0.229 0.279 1397.948 2403.657 0.026 61.585 60.000 1000.000 765.326 
0.229 0.279 2410.195 3566.494 0.016 37.927 100.000 1000.000 1205.866 
0.229 0.279 3572.102 4998.030 0.016 61.585 90.000 1000.000 1740.253 
0.279 0.337 1.757 13.023 0.026 14.384 1.000 7.000 3.399 
0.279 0.337 13.123 22.996 0.026 14.384 1.000 10.000 8.683 
0.279 0.337 23.005 31.126 0.026 37.927 1.000 10.000 12.087 
0.279 0.337 31.136 38.973 0.026 14.384 2.000 20.000 17.272 
0.280 0.337 38.990 47.018 0.026 23.357 2.000 20.000 19.391 
0.279 0.337 47.089 55.394 0.026 37.927 2.000 20.000 23.841 
0.279 0.337 55.501 64.968 0.026 23.357 2.000 30.000 28.891 
0.279 0.337 65.024 76.578 0.026 61.585 2.000 40.000 31.560 
0.279 0.337 76.611 92.332 0.026 23.357 4.000 30.000 33.385 
0.279 0.337 92.361 117.637 0.026 23.357 6.000 70.000 40.783 
0.279 0.337 117.838 173.575 0.026 37.927 4.000 100.000 63.648 
0.279 0.337 174.345 240.084 0.026 14.384 20.000 100.000 100.695 
0.279 0.337 240.823 325.084 0.026 14.384 20.000 100.000 132.750 
0.279 0.337 325.786 437.370 0.016 14.384 20.000 200.000 185.729 
0.279 0.337 438.615 602.487 0.016 14.384 30.000 300.000 245.874 
0.279 0.337 606.671 846.955 0.026 23.357 40.000 400.000 346.884 
0.279 0.337 849.864 1424.632 0.016 23.357 50.000 800.000 456.316 
0.279 0.337 1425.307 2437.268 0.026 37.927 90.000 1000.000 941.116 
0.279 0.337 2445.545 3568.360 0.026 23.357 200.000 1000.000 1379.814 
0.279 0.337 3580.154 4998.429 0.026 61.585 100.000 1000.000 1929.660 
0.337 0.398 2.184 12.009 0.026 14.384 1.000 6.000 4.201 
0.337 0.398 12.103 20.898 0.026 23.357 1.000 10.000 8.795 
0.338 0.398 20.935 28.536 0.026 14.384 2.000 10.000 13.306 
0.337 0.398 28.597 36.404 0.026 14.384 2.000 10.000 17.401 
0.338 0.398 36.452 45.048 0.026 23.357 2.000 20.000 21.725 
0.337 0.398 45.143 54.481 0.026 14.384 3.000 20.000 26.230 
0.337 0.398 54.492 65.260 0.026 14.384 4.000 30.000 30.179 
0.338 0.398 65.377 78.489 0.026 14.384 4.000 30.000 36.073 
0.337 0.398 78.813 96.863 0.026 14.384 5.000 50.000 43.452 
0.338 0.398 97.069 135.431 0.026 37.927 4.000 70.000 54.633 
0.338 0.398 135.575 201.145 0.026 14.384 9.000 100.000 89.873 
0.338 0.398 201.729 271.064 0.026 14.384 20.000 100.000 116.872 
0.338 0.398 271.152 361.299 0.026 14.384 20.000 100.000 170.657 
0.338 0.398 362.453 486.820 0.026 23.357 30.000 200.000 220.314 
0.338 0.398 487.055 662.549 0.026 14.384 30.000 300.000 306.022 
0.338 0.398 663.405 953.969 0.026 23.357 40.000 500.000 341.040 
0.338 0.398 960.016 1679.056 0.026 37.927 50.000 800.000 601.550 
0.338 0.398 1681.738 2598.805 0.026 37.927 90.000 1000.000 1136.865 
0.337 0.398 2601.302 3647.277 0.026 100.000 40.000 1000.000 1620.847 
0.337 0.398 3670.189 4999.433 0.026 23.357 200.000 1000.000 2262.355 
0.398 0.452 1.978 10.355 0.043 8.859 1.000 5.000 4.052 
0.398 0.452 10.401 17.988 0.043 23.357 1.000 10.000 8.403 
0.398 0.452 18.021 25.695 0.026 23.357 1.000 10.000 12.905 
0.399 0.452 25.830 34.210 0.043 23.357 2.000 10.000 17.660 
0.399 0.452 34.321 44.874 0.026 23.357 2.000 10.000 22.859 
0.398 0.452 44.927 56.776 0.026 37.927 3.000 30.000 28.721 
0.398 0.451 56.803 70.211 0.026 14.384 3.000 30.000 32.145 
0.398 0.452 70.312 89.510 0.043 100.000 2.000 40.000 43.733 
0.398 0.452 89.661 129.911 0.043 37.927 4.000 60.000 56.650 
0.398 0.452 131.326 202.354 0.026 14.384 9.000 90.000 95.989 
0.398 0.452 202.703 271.826 0.043 14.384 20.000 100.000 130.108 
0.398 0.452 272.186 353.221 0.026 14.384 20.000 100.000 180.712 
0.398 0.452 353.814 460.780 0.016 14.384 30.000 200.000 235.596 
0.398 0.452 462.651 603.986 0.026 14.384 40.000 300.000 300.827 
0.399 0.452 605.282 826.010 0.043 23.357 40.000 400.000 416.970 
0.398 0.452 826.361 1319.627 0.026 37.927 40.000 600.000 532.288 
0.399 0.452 1322.536 2067.690 0.043 23.357 70.000 1000.000 980.414 
0.398 0.452 2068.651 2871.780 0.026 100.000 40.000 1000.000 1434.969 
0.398 0.452 2877.626 3810.558 0.043 100.000 90.000 1000.000 2070.156 
0.399 0.452 3814.166 4994.028 0.026 37.927 200.000 1000.000 2705.392 
0.452 0.498 1.955 9.355 0.043 8.859 1.000 4.000 4.854 
0.452 0.498 9.379 16.530 0.070 14.384 1.000 7.000 8.947 
0.453 0.497 16.539 24.019 0.026 8.859 2.000 10.000 12.570 
0.452 0.497 24.065 33.203 0.043 8.859 2.000 10.000 17.648 
0.452 0.498 33.230 45.738 0.043 100.000 1.000 20.000 24.064 
0.452 0.498 45.792 60.797 0.026 14.384 4.000 30.000 32.624 
0.452 0.498 60.881 81.608 0.043 100.000 2.000 30.000 42.388 
0.452 0.498 82.036 126.920 0.043 23.357 4.000 60.000 55.313 
0.452 0.498 127.086 204.636 0.026 14.384 9.000 100.000 102.940 
0.452 0.498 204.904 276.295 0.043 100.000 4.000 100.000 142.454 
0.452 0.498 276.630 355.313 0.043 8.859 30.000 200.000 197.337 
0.453 0.498 355.522 452.329 0.043 14.384 30.000 200.000 255.387 
0.452 0.498 452.762 566.921 0.026 14.384 40.000 200.000 315.731 
0.452 0.498 567.364 724.743 0.043 23.357 40.000 400.000 410.660 
0.452 0.498 726.736 1018.736 0.043 37.927 50.000 500.000 488.363 
0.452 0.498 1019.393 1663.542 0.043 23.357 70.000 900.000 737.723 
0.452 0.498 1665.797 2337.963 0.043 37.927 70.000 1000.000 1273.059 
0.452 0.498 2340.103 3059.740 0.026 14.384 200.000 1000.000 1685.690 
0.452 0.498 3063.916 3947.942 0.043 14.384 200.000 1000.000 2199.397 
0.452 0.498 3951.707 4999.567 0.026 37.927 200.000 1000.000 2805.555 
0.498 0.537 2.152 9.177 0.043 8.859 1.000 4.000 4.543 
0.498 0.538 9.193 16.075 0.043 14.384 1.000 9.000 8.480 
0.498 0.538 16.150 23.136 0.070 8.859 2.000 10.000 12.844 
0.498 0.538 23.150 32.545 0.043 14.384 2.000 10.000 17.953 
0.498 0.538 32.622 46.652 0.043 14.384 2.000 20.000 25.646 
0.498 0.538 46.660 66.030 0.043 14.384 4.000 30.000 35.612 
0.498 0.538 66.469 99.480 0.043 14.384 6.000 50.000 47.832 
0.498 0.538 99.579 185.403 0.043 8.859 8.000 90.000 79.283 
0.498 0.538 185.991 263.871 0.043 14.384 20.000 100.000 147.418 
0.498 0.538 264.122 341.915 0.043 14.384 20.000 100.000 200.566 
0.498 0.538 342.172 427.570 0.043 8.859 30.000 200.000 260.316 
0.498 0.538 427.700 526.292 0.043 8.859 30.000 200.000 322.000 
0.498 0.538 526.541 647.083 0.043 23.357 40.000 300.000 386.600 
0.498 0.538 647.928 809.307 0.043 23.357 40.000 400.000 465.892 
0.498 0.538 812.012 1202.813 0.043 23.357 50.000 600.000 590.559 
0.498 0.538 1204.736 1835.326 0.043 23.357 60.000 900.000 1065.481 
0.498 0.538 1846.020 2488.443 0.043 8.859 200.000 1000.000 1401.291 
0.498 0.538 2495.521 3196.959 0.043 37.927 100.000 1000.000 1846.070 
0.498 0.538 3204.459 4020.984 0.070 8.859 300.000 1000.000 2390.260 
0.498 0.538 4033.239 4987.704 0.043 14.384 300.000 1000.000 2951.551 
0.538 0.575 1.833 9.150 0.043 5.456 1.000 4.000 4.771 
0.538 0.576 9.179 15.931 0.070 14.384 1.000 8.000 8.875 
0.538 0.576 16.018 22.821 0.043 14.384 1.000 10.000 12.301 
0.538 0.576 22.885 32.460 0.070 14.384 2.000 10.000 19.082 
0.538 0.576 32.480 47.978 0.043 23.357 2.000 20.000 27.646 
0.538 0.575 48.197 72.124 0.043 14.384 3.000 30.000 39.494 
0.538 0.575 72.520 137.255 0.043 37.927 4.000 70.000 59.112 
0.538 0.576 137.790 232.796 0.043 100.000 4.000 100.000 137.411 
0.538 0.576 233.032 313.674 0.043 8.859 20.000 100.000 187.577 
0.538 0.576 314.685 391.219 0.070 14.384 30.000 200.000 239.425 
0.538 0.575 392.006 475.707 0.043 8.859 30.000 200.000 297.536 
0.538 0.576 475.892 571.503 0.043 14.384 40.000 200.000 360.234 
0.538 0.576 571.910 689.608 0.026 14.384 40.000 300.000 372.366 
0.538 0.576 689.712 861.244 0.043 14.384 50.000 400.000 530.491 
0.538 0.576 861.966 1351.318 0.043 37.927 50.000 600.000 655.478 
0.538 0.576 1355.847 1958.402 0.070 23.357 90.000 1000.000 1113.077 
0.538 0.576 1966.749 2616.674 0.070 8.859 200.000 1000.000 1586.078 
0.538 0.576 2625.530 3339.611 0.043 14.384 200.000 1000.000 2031.738 
0.538 0.575 3342.688 4114.079 0.043 100.000 60.000 1000.000 2495.942 
0.539 0.576 4120.973 4997.138 0.043 23.357 300.000 1000.000 3135.623 
0.576 0.613 2.004 9.145 0.043 8.859 1.000 4.000 4.863 
0.576 0.613 9.156 16.121 0.043 8.859 1.000 8.000 8.359 
0.576 0.613 16.147 22.896 0.070 14.384 1.000 10.000 13.476 
0.576 0.613 22.961 31.939 0.043 14.384 2.000 10.000 19.386 
0.576 0.613 32.126 48.566 0.043 14.384 3.000 20.000 26.568 
0.576 0.613 48.880 78.340 0.043 14.384 4.000 30.000 41.836 
0.576 0.613 78.498 178.590 0.043 8.859 7.000 90.000 67.355 
0.576 0.613 178.940 276.141 0.043 8.859 20.000 100.000 165.572 
0.576 0.613 276.917 352.562 0.043 8.859 30.000 100.000 232.507 
0.576 0.613 352.995 428.453 0.043 8.859 30.000 200.000 276.732 
0.576 0.613 428.851 510.691 0.043 8.859 40.000 200.000 329.978 
0.576 0.613 510.930 607.817 0.070 8.859 40.000 300.000 394.406 
0.576 0.613 608.065 722.344 0.070 14.384 40.000 300.000 410.405 
0.576 0.613 722.863 906.069 0.070 14.384 50.000 400.000 566.873 
0.576 0.613 906.605 1490.643 0.070 23.357 80.000 700.000 729.196 
0.576 0.613 1497.060 2076.534 0.070 23.357 70.000 900.000 1270.651 
0.576 0.613 2081.580 2732.005 0.070 8.859 200.000 1000.000 1781.579 
0.576 0.613 2737.392 3444.091 0.043 61.585 70.000 1000.000 2292.722 
0.576 0.613 3447.154 4184.800 0.070 14.384 300.000 1000.000 2749.714 
0.576 0.613 4196.782 4994.516 0.070 14.384 300.000 1000.000 3233.273 
0.614 0.655 1.920 9.140 0.070 5.456 1.000 4.000 5.265 
0.614 0.655 9.159 16.179 0.070 8.859 1.000 7.000 9.108 
0.614 0.655 16.211 23.117 0.070 14.384 1.000 10.000 13.630 
0.614 0.655 23.150 32.102 0.070 8.859 2.000 10.000 20.140 
0.614 0.655 32.116 48.948 0.043 8.859 3.000 20.000 27.338 
0.614 0.655 49.063 86.976 0.043 37.927 3.000 40.000 46.590 
0.614 0.655 87.583 217.442 0.043 8.859 6.000 100.000 121.938 
0.614 0.655 218.061 307.693 0.070 8.859 20.000 100.000 205.582 
0.614 0.655 308.195 378.591 0.070 8.859 30.000 200.000 254.920 
0.613 0.655 378.777 451.063 0.070 8.859 30.000 200.000 317.543 
0.614 0.655 451.181 533.182 0.043 8.859 40.000 200.000 371.814 
