Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.506 0.522 52.698 68.433 0.010 100.000 1.000 20.000 82.817 
0.506 0.522 68.663 87.440 0.010 100.000 1.000 40.000 107.093 
0.506 0.522 87.643 113.379 0.010 100.000 1.000 50.000 137.943 
0.506 0.522 113.562 154.880 0.010 100.000 2.000 60.000 180.990 
0.506 0.522 155.228 214.564 0.010 100.000 2.000 90.000 266.331 
0.506 0.522 215.453 296.362 0.010 100.000 3.000 100.000 356.525 
0.506 0.522 297.020 403.860 0.010 100.000 3.000 100.000 478.166 
0.506 0.522 404.274 524.637 0.010 100.000 4.000 200.000 638.548 
0.506 0.522 524.790 665.200 0.010 100.000 5.000 200.000 791.572 
0.506 0.522 665.473 842.658 0.010 100.000 7.000 300.000 1043.011 
0.506 0.522 843.762 1099.211 0.010 100.000 8.000 500.000 1337.065 
0.506 0.522 1100.278 1487.798 0.010 100.000 20.000 600.000 1777.760 
0.506 0.522 1491.554 2044.603 0.010 100.000 20.000 900.000 2457.796 
0.506 0.522 2045.381 2797.502 0.010 100.000 20.000 1000.000 3315.613 
0.506 0.522 2811.197 3818.266 0.010 100.000 30.000 1000.000 4577.995 
0.506 0.522 3821.266 4995.745 0.010 100.000 30.000 1000.000 5891.245 
0.522 0.539 2.257 15.658 0.010 23.357 1.000 6.000 15.413 
0.522 0.539 15.819 26.827 0.010 23.357 1.000 10.000 30.163 
0.522 0.539 26.874 39.072 0.010 23.357 1.000 10.000 46.144 
0.522 0.539 39.181 52.694 0.010 100.000 1.000 20.000 63.542 
0.522 0.539 52.705 68.367 0.010 100.000 1.000 30.000 81.215 
0.522 0.539 68.439 87.346 0.010 100.000 1.000 30.000 104.101 
0.522 0.539 87.367 114.459 0.010 100.000 1.000 40.000 135.879 
0.522 0.539 115.143 155.307 0.010 100.000 2.000 60.000 185.354 
0.522 0.539 155.650 213.712 0.010 100.000 2.000 90.000 252.074 
0.522 0.539 214.401 296.948 0.010 100.000 2.000 100.000 348.326 
0.522 0.539 297.411 402.517 0.010 100.000 3.000 100.000 492.142 
0.522 0.539 402.876 520.615 0.010 100.000 4.000 200.000 638.338 
0.522 0.539 521.711 660.523 0.010 100.000 5.000 200.000 777.714 
0.522 0.539 661.803 836.282 0.010 100.000 6.000 300.000 1018.424 
0.522 0.539 837.616 1085.330 0.010 100.000 8.000 400.000 1286.139 
0.522 0.539 1085.780 1479.358 0.010 100.000 20.000 600.000 1716.141 
0.522 0.539 1480.531 2025.290 0.010 100.000 20.000 800.000 2405.811 
0.522 0.539 2029.179 2800.345 0.010 100.000 20.000 1000.000 3236.953 
0.522 0.539 2802.729 3821.206 0.010 100.000 30.000 1000.000 4496.126 
0.522 0.539 3830.563 4992.345 0.010 100.000 40.000 1000.000 5953.927 
0.539 0.557 2.231 15.984 0.010 37.927 1.000 7.000 15.371 
0.539 0.557 16.070 27.166 0.010 61.585 1.000 10.000 31.480 
0.539 0.557 27.198 39.667 0.010 61.585 1.000 10.000 46.249 
0.539 0.557 39.682 53.242 0.010 61.585 1.000 20.000 62.143 
0.539 0.557 53.272 68.873 0.010 100.000 1.000 30.000 82.993 
0.539 0.557 68.904 87.443 0.010 100.000 1.000 40.000 104.715 
0.539 0.557 87.508 113.616 0.010 100.000 1.000 50.000 136.131 
0.539 0.557 113.916 154.580 0.010 100.000 2.000 60.000 180.216 
0.539 0.557 154.878 210.993 0.010 100.000 2.000 90.000 249.353 
0.539 0.557 211.904 296.662 0.010 100.000 2.000 100.000 346.935 
0.539 0.557 299.189 401.237 0.010 100.000 3.000 100.000 475.040 
0.539 0.557 402.529 522.103 0.010 100.000 4.000 200.000 644.373 
0.539 0.557 523.760 661.709 0.010 100.000 5.000 200.000 804.203 
0.539 0.557 661.979 833.938 0.010 100.000 6.000 300.000 991.080 
0.539 0.557 834.463 1082.282 0.010 100.000 9.000 400.000 1263.716 
0.539 0.557 1083.950 1468.307 0.010 100.000 8.000 600.000 1658.712 
0.539 0.557 1471.018 2018.154 0.010 100.000 20.000 900.000 2348.446 
0.539 0.557 2022.485 2794.046 0.010 100.000 20.000 1000.000 3287.650 
0.539 0.557 2796.175 3824.027 0.010 100.000 30.000 1000.000 4466.011 
0.539 0.557 3826.920 4993.019 0.010 100.000 40.000 1000.000 5940.186 
0.557 0.576 2.266 16.253 0.010 23.357 1.000 7.000 14.731 
0.557 0.576 16.328 27.674 0.010 23.357 1.000 10.000 31.680 
0.557 0.576 27.748 40.175 0.010 100.000 1.000 10.000 46.446 
0.557 0.576 40.205 53.705 0.010 61.585 1.000 20.000 64.105 
0.557 0.576 53.780 68.959 0.010 100.000 1.000 30.000 83.748 
0.557 0.576 69.214 88.076 0.010 100.000 1.000 30.000 102.767 
0.557 0.576 88.202 114.106 0.010 100.000 1.000 50.000 134.400 
0.557 0.576 114.146 155.565 0.010 100.000 2.000 60.000 174.677 
0.557 0.576 155.584 213.789 0.010 100.000 2.000 90.000 250.009 
0.557 0.576 213.890 298.847 0.010 100.000 2.000 100.000 345.863 
0.557 0.576 299.291 406.062 0.010 100.000 3.000 100.000 468.260 
0.557 0.576 406.514 528.132 0.010 100.000 5.000 200.000 621.772 
0.557 0.576 528.578 666.962 0.010 100.000 5.000 300.000 813.898 
0.557 0.576 669.801 835.875 0.010 100.000 7.000 300.000 1003.481 
0.557 0.576 837.020 1076.150 0.010 100.000 9.000 400.000 1233.870 
0.557 0.576 1077.318 1454.607 0.010 100.000 20.000 600.000 1649.026 
0.557 0.576 1457.825 2001.576 0.010 100.000 20.000 800.000 2286.443 
0.557 0.576 2004.488 2795.431 0.010 100.000 20.000 1000.000 3194.775 
0.557 0.576 2800.392 3828.588 0.010 100.000 30.000 1000.000 4433.508 
0.557 0.576 3831.454 4970.878 0.010 100.000 40.000 1000.000 5824.638 
