Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.473 0.489 840.755 1097.569 0.010 100.000 7.000 400.000 1308.593 
0.473 0.489 1097.569 1494.319 0.010 100.000 10.000 700.000 1767.454 
0.473 0.489 1494.319 2050.646 0.010 100.000 20.000 800.000 2484.176 
0.473 0.489 2050.646 2814.843 0.010 100.000 30.000 1000.000 3328.536 
0.473 0.489 2814.843 3804.285 0.010 100.000 30.000 1000.000 4633.723 
0.473 0.489 3804.285 4999.515 0.010 100.000 40.000 1000.000 6065.273 
0.489 0.505 2.133 15.601 0.010 23.357 1.000 6.000 14.287 
0.489 0.505 15.601 26.631 0.010 37.927 1.000 10.000 30.709 
0.489 0.505 26.631 39.064 0.010 100.000 1.000 10.000 46.543 
0.489 0.505 39.064 52.671 0.010 61.585 1.000 20.000 65.393 
0.489 0.505 52.671 68.569 0.010 100.000 1.000 30.000 82.836 
0.489 0.505 68.569 88.110 0.010 100.000 1.000 30.000 105.680 
0.489 0.505 88.110 115.670 0.010 100.000 1.000 40.000 138.545 
0.489 0.505 115.670 158.121 0.010 100.000 2.000 60.000 189.435 
0.489 0.505 158.121 216.661 0.010 100.000 2.000 90.000 267.038 
0.489 0.505 216.661 298.244 0.010 100.000 3.000 100.000 362.542 
0.489 0.505 298.244 401.098 0.010 100.000 3.000 100.000 475.049 
0.489 0.505 401.098 520.265 0.010 100.000 4.000 200.000 632.719 
0.489 0.505 520.265 664.727 0.010 100.000 5.000 300.000 803.048 
0.489 0.505 664.727 845.402 0.010 100.000 7.000 300.000 1048.429 
0.489 0.505 845.402 1109.888 0.010 100.000 8.000 400.000 1323.771 
0.489 0.505 1109.888 1512.244 0.010 100.000 20.000 600.000 1854.335 
0.489 0.505 1512.244 2067.710 0.010 100.000 20.000 800.000 2478.138 
0.489 0.505 2067.710 2816.416 0.010 100.000 20.000 1000.000 3401.199 
0.489 0.505 2816.416 3795.783 0.010 100.000 30.000 1000.000 4545.000 
0.489 0.505 3795.783 4999.953 0.010 100.000 40.000 1000.000 5935.025 
0.505 0.521 2.068 15.835 0.010 23.357 1.000 7.000 15.107 
0.505 0.521 15.835 26.585 0.010 100.000 1.000 10.000 30.780 
0.505 0.521 26.585 39.090 0.010 61.585 1.000 10.000 45.496 
0.505 0.521 39.090 52.800 0.010 61.585 1.000 20.000 62.787 
