Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.458 0.474 299.824 401.749 0.010 100.000 3.000 100.000 376.581 
0.458 0.474 402.722 520.689 0.010 100.000 4.000 200.000 608.275 
0.458 0.474 521.707 665.861 0.010 100.000 5.000 200.000 722.704 
0.458 0.474 666.375 849.801 0.010 100.000 7.000 300.000 969.998 
0.458 0.474 851.452 1109.070 0.010 100.000 9.000 400.000 1199.247 
0.458 0.474 1117.673 1517.312 0.010 100.000 10.000 600.000 1574.393 
0.458 0.474 1519.489 2079.468 0.010 100.000 20.000 800.000 2178.114 
0.458 0.474 2080.909 2858.263 0.010 100.000 20.000 1000.000 2991.969 
0.458 0.474 2864.904 3820.507 0.010 100.000 30.000 1000.000 4060.947 
0.458 0.474 3823.062 4998.391 0.010 100.000 40.000 1000.000 5607.881 
0.474 0.490 2.252 15.681 0.010 14.384 1.000 7.000 10.547 
0.474 0.490 15.718 26.453 0.010 61.585 1.000 10.000 24.761 
0.474 0.490 26.565 38.886 0.010 61.585 1.000 10.000 43.481 
0.474 0.490 38.975 52.656 0.010 61.585 1.000 20.000 55.163 
0.474 0.490 52.814 68.829 0.010 100.000 1.000 20.000 65.616 
0.474 0.490 68.921 88.270 0.010 100.000 1.000 30.000 85.386 
0.474 0.490 88.357 115.824 0.010 100.000 1.000 50.000 130.236 
0.474 0.490 115.978 158.597 0.010 100.000 1.000 60.000 146.460 
0.474 0.490 159.227 216.696 0.010 100.000 2.000 80.000 199.842 
0.474 0.490 217.738 297.101 0.010 100.000 3.000 100.000 329.576 
0.474 0.490 298.678 397.965 0.010 100.000 4.000 100.000 413.672 
0.474 0.490 399.489 517.758 0.010 100.000 4.000 200.000 505.221 
0.474 0.490 518.410 661.642 0.010 100.000 6.000 200.000 717.013 
0.474 0.490 662.113 839.705 0.010 100.000 6.000 300.000 820.858 
0.474 0.490 840.329 1096.654 0.010 100.000 7.000 400.000 1182.957 
0.474 0.490 1097.352 1493.489 0.010 100.000 10.000 600.000 1735.871 
0.474 0.490 1495.441 2049.128 0.010 100.000 20.000 800.000 2059.350 
0.474 0.490 2050.890 2811.265 0.010 100.000 30.000 1000.000 3137.462 
0.474 0.490 2815.291 3802.570 0.010 100.000 30.000 1000.000 4248.801 
0.474 0.490 3808.535 4992.693 0.010 100.000 40.000 1000.000 5305.056 
0.490 0.506 2.335 15.584 0.010 37.927 1.000 6.000 11.987 
0.490 0.506 15.705 26.593 0.010 37.927 1.000 10.000 27.587 
0.490 0.506 26.680 39.021 0.010 100.000 1.000 10.000 39.097 
0.490 0.506 39.128 52.686 0.010 100.000 1.000 20.000 49.236 
0.490 0.506 52.708 68.444 0.010 100.000 1.000 30.000 73.027 
0.490 0.506 68.564 88.026 0.010 100.000 1.000 30.000 95.920 
0.490 0.506 88.421 115.363 0.010 100.000 1.000 50.000 123.781 
0.490 0.506 115.822 157.996 0.010 100.000 2.000 60.000 165.205 
0.490 0.506 158.646 216.494 0.010 100.000 2.000 90.000 216.522 
0.490 0.506 216.735 297.050 0.010 100.000 2.000 100.000 261.419 
0.490 0.505 299.071 400.978 0.010 100.000 3.000 100.000 415.727 
0.490 0.506 401.125 520.631 0.010 100.000 4.000 200.000 559.124 
0.490 0.506 520.885 665.448 0.010 100.000 5.000 200.000 635.752 
0.490 0.506 666.524 845.496 0.010 100.000 7.000 300.000 848.059 
0.490 0.506 846.857 1111.132 0.010 100.000 8.000 400.000 1176.307 
0.490 0.506 1112.459 1507.241 0.010 100.000 20.000 600.000 1552.617 
0.490 0.506 1515.083 2064.637 0.010 100.000 20.000 900.000 2075.237 
0.490 0.506 2073.004 2814.194 0.010 100.000 20.000 1000.000 2945.112 
0.490 0.506 2817.041 3795.332 0.010 100.000 30.000 1000.000 4245.952 
0.490 0.506 3800.416 4993.184 0.010 100.000 40.000 1000.000 5209.338 
0.506 0.522 2.310 15.789 0.010 14.384 1.000 6.000 12.910 
