Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.506 0.522 2044.873 2804.759 0.010 100.000 20.000 1000.000 2981.717 
0.506 0.522 2804.759 3820.504 0.010 100.000 30.000 1000.000 3491.969 
0.506 0.522 3820.504 4999.731 0.010 100.000 30.000 1000.000 5463.901 
0.522 0.539 2.011 15.818 0.010 23.357 1.000 6.000 11.107 
0.522 0.539 15.818 26.872 0.010 23.357 1.000 10.000 23.251 
0.522 0.539 26.872 39.154 0.010 23.357 1.000 10.000 38.308 
0.522 0.539 39.154 52.703 0.010 100.000 1.000 20.000 53.437 
0.522 0.539 52.703 68.379 0.010 100.000 1.000 30.000 74.603 
0.522 0.539 68.379 87.346 0.010 100.000 1.000 30.000 91.257 
0.522 0.539 87.346 114.565 0.010 100.000 1.000 40.000 116.570 
0.522 0.539 114.565 155.573 0.010 100.000 2.000 60.000 155.630 
0.522 0.539 155.573 214.045 0.010 100.000 2.000 90.000 214.232 
0.522 0.539 214.045 297.101 0.010 100.000 2.000 100.000 297.027 
0.522 0.539 297.101 402.737 0.010 100.000 3.000 100.000 369.391 
0.522 0.539 402.737 520.615 0.010 100.000 4.000 200.000 499.239 
0.522 0.539 520.615 660.932 0.010 100.000 5.000 200.000 701.924 
0.522 0.539 660.932 837.338 0.010 100.000 6.000 300.000 898.086 
0.522 0.539 837.338 1085.478 0.010 100.000 8.000 400.000 1015.733 
0.522 0.539 1085.478 1480.401 0.010 100.000 20.000 600.000 1474.174 
0.522 0.539 1480.401 2028.888 0.010 100.000 20.000 800.000 2059.800 
0.522 0.539 2028.888 2802.716 0.010 100.000 20.000 1000.000 2967.345 
0.522 0.539 2802.716 3825.654 0.010 100.000 30.000 1000.000 4054.915 
0.522 0.539 3825.654 4999.707 0.010 100.000 40.000 1000.000 4691.568 
0.539 0.557 1.959 16.001 0.010 37.927 1.000 7.000 11.485 
0.539 0.557 16.001 27.185 0.010 61.585 1.000 10.000 26.577 
0.539 0.557 27.185 39.680 0.010 61.585 1.000 10.000 37.945 
0.539 0.557 39.680 53.266 0.010 61.585 1.000 20.000 57.022 
0.539 0.557 53.266 68.876 0.010 100.000 1.000 30.000 70.414 
0.539 0.557 68.876 87.484 0.010 100.000 1.000 40.000 83.629 
0.539 0.557 87.484 113.729 0.010 100.000 1.000 50.000 119.607 
0.539 0.557 113.729 154.716 0.010 100.000 2.000 60.000 153.729 
0.539 0.557 154.716 211.433 0.010 100.000 2.000 90.000 211.203 
0.539 0.557 211.433 296.934 0.010 100.000 2.000 100.000 291.970 
0.539 0.557 296.934 401.937 0.010 100.000 3.000 100.000 430.091 
0.539 0.557 401.937 522.250 0.010 100.000 4.000 200.000 496.245 
0.539 0.557 522.250 661.821 0.010 100.000 5.000 200.000 630.116 
0.539 0.557 661.821 834.369 0.010 100.000 6.000 300.000 779.783 
0.539 0.557 834.369 1082.727 0.010 100.000 9.000 400.000 998.463 
0.539 0.557 1082.727 1469.820 0.010 100.000 8.000 600.000 1457.302 
0.539 0.557 1469.820 2019.045 0.010 100.000 20.000 900.000 2029.735 
0.539 0.557 2019.045 2795.866 0.010 100.000 20.000 1000.000 2762.458 
0.539 0.557 2795.866 3824.914 0.010 100.000 30.000 1000.000 3804.577 
0.539 0.557 3824.914 4999.915 0.010 100.000 40.000 1000.000 4560.059 
0.557 0.576 2.057 16.266 0.010 23.357 1.000 7.000 12.810 
0.557 0.576 16.266 27.727 0.010 23.357 1.000 10.000 24.043 
0.557 0.576 27.727 40.203 0.010 100.000 1.000 10.000 43.235 
0.557 0.576 40.203 53.713 0.010 61.585 1.000 20.000 53.910 
0.557 0.576 53.713 69.190 0.010 100.000 1.000 30.000 71.508 
0.557 0.576 69.190 88.186 0.010 100.000 1.000 30.000 91.272 
0.557 0.576 88.186 114.108 0.010 100.000 1.000 50.000 117.671 
0.557 0.576 114.108 155.583 0.010 100.000 2.000 60.000 154.655 
0.557 0.576 155.583 213.859 0.010 100.000 2.000 90.000 211.817 
0.557 0.576 213.859 298.892 0.010 100.000 2.000 100.000 297.514 
0.557 0.576 298.892 406.377 0.010 100.000 3.000 100.000 415.255 
0.557 0.576 406.377 528.196 0.010 100.000 5.000 200.000 531.721 
0.557 0.576 528.196 667.071 0.010 100.000 5.000 300.000 625.406 
0.557 0.576 667.071 836.674 0.010 100.000 7.000 300.000 804.633 
0.557 0.576 836.674 1076.836 0.010 100.000 9.000 400.000 1078.786 
0.557 0.576 1076.836 1457.463 0.010 100.000 20.000 600.000 1547.804 
0.557 0.576 1457.463 2004.190 0.010 100.000 20.000 800.000 1769.247 
0.557 0.576 2004.190 2797.898 0.010 100.000 20.000 1000.000 2656.474 
0.557 0.576 2797.898 3830.165 0.010 100.000 30.000 1000.000 4045.314 
0.557 0.576 3830.165 4999.994 0.010 100.000 40.000 1000.000 5270.359 
0.576 0.598 1.885 16.813 0.010 23.357 1.000 7.000 12.589 
0.576 0.598 16.813 28.400 0.010 100.000 1.000 10.000 27.210 
0.576 0.598 28.400 40.825 0.010 61.585 1.000 10.000 39.176 
0.576 0.598 40.825 54.540 0.010 61.585 1.000 20.000 58.646 
0.576 0.598 54.540 70.098 0.010 61.585 1.000 30.000 63.499 
