Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.522 0.539 155.650 213.712 0.010 100.000 2.000 90.000 116.561 
0.522 0.539 214.401 296.948 0.010 100.000 2.000 100.000 161.555 
0.522 0.539 297.411 402.517 0.010 100.000 3.000 100.000 220.911 
0.522 0.539 402.876 520.615 0.010 100.000 4.000 200.000 304.968 
0.522 0.539 521.711 660.523 0.010 100.000 5.000 200.000 377.076 
0.522 0.539 661.803 836.282 0.010 100.000 6.000 300.000 486.929 
0.522 0.539 837.616 1085.330 0.010 100.000 8.000 400.000 606.871 
0.522 0.539 1085.780 1479.358 0.010 100.000 20.000 600.000 807.544 
0.522 0.539 1480.531 2025.290 0.010 100.000 20.000 800.000 1076.290 
0.522 0.539 2029.179 2800.345 0.010 100.000 20.000 1000.000 1520.491 
0.522 0.539 2802.729 3821.206 0.010 100.000 30.000 1000.000 2059.759 
0.522 0.539 3830.563 4992.345 0.010 100.000 40.000 1000.000 2764.288 
0.539 0.557 2.231 15.984 0.010 37.927 1.000 7.000 7.525 
0.539 0.557 16.070 27.166 0.010 61.585 1.000 10.000 14.277 
0.539 0.557 27.198 39.667 0.010 61.585 1.000 10.000 22.804 
0.539 0.557 39.682 53.242 0.010 61.585 1.000 20.000 29.659 
0.539 0.557 53.272 68.873 0.010 100.000 1.000 30.000 40.141 
0.539 0.557 68.904 87.443 0.010 100.000 1.000 40.000 53.669 
0.539 0.557 87.508 113.616 0.010 100.000 1.000 50.000 64.311 
0.539 0.557 113.916 154.580 0.010 100.000 2.000 60.000 84.863 
0.539 0.557 154.878 210.993 0.010 100.000 2.000 90.000 123.380 
0.539 0.557 211.904 296.662 0.010 100.000 2.000 100.000 173.287 
0.539 0.557 299.189 401.237 0.010 100.000 3.000 100.000 227.740 
0.539 0.557 402.529 522.103 0.010 100.000 4.000 200.000 314.701 
0.539 0.557 523.760 661.709 0.010 100.000 5.000 200.000 405.262 
0.539 0.557 661.979 833.938 0.010 100.000 6.000 300.000 506.264 
0.539 0.557 834.463 1082.282 0.010 100.000 9.000 400.000 606.969 
0.539 0.557 1083.950 1468.307 0.010 100.000 8.000 600.000 821.035 
0.539 0.557 1471.018 2018.154 0.010 100.000 20.000 900.000 1174.596 
0.539 0.557 2022.485 2794.046 0.010 100.000 20.000 1000.000 1628.445 
0.539 0.557 2796.175 3824.027 0.010 100.000 30.000 1000.000 2179.363 
0.539 0.557 3826.920 4993.019 0.010 100.000 40.000 1000.000 3003.908 
0.557 0.576 2.266 16.253 0.010 23.357 1.000 7.000 7.528 
0.557 0.576 16.328 27.674 0.010 23.357 1.000 10.000 14.949 
