Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.398 0.450 44.925 56.779 0.026 37.927 3.000 30.000 28.721 
0.398 0.450 56.779 70.211 0.026 14.384 3.000 30.000 32.145 
0.398 0.450 70.211 89.265 0.043 100.000 2.000 40.000 43.733 
0.398 0.450 89.265 129.486 0.043 37.927 4.000 60.000 56.650 
0.398 0.450 129.486 201.124 0.026 14.384 9.000 90.000 95.989 
0.398 0.450 201.124 270.725 0.043 14.384 20.000 100.000 130.108 
0.398 0.450 270.725 351.950 0.026 14.384 20.000 100.000 180.712 
0.398 0.450 351.950 459.210 0.016 14.384 30.000 200.000 235.596 
0.398 0.450 459.210 603.224 0.026 14.384 40.000 300.000 300.827 
0.398 0.450 603.224 824.024 0.043 23.357 40.000 400.000 416.970 
0.398 0.450 824.024 1314.345 0.026 37.927 40.000 600.000 532.288 
0.398 0.450 1314.345 2062.497 0.043 23.357 70.000 1000.000 980.414 
0.398 0.450 2062.497 2868.833 0.026 100.000 40.000 1000.000 1434.969 
0.398 0.450 2868.833 3810.562 0.043 100.000 90.000 1000.000 2070.156 
0.398 0.450 3810.562 4999.599 0.026 37.927 200.000 1000.000 2705.392 
0.450 0.495 1.667 9.437 0.043 8.859 1.000 4.000 4.854 
0.450 0.495 9.437 16.637 0.070 14.384 1.000 7.000 8.947 
0.450 0.495 16.637 24.116 0.026 8.859 2.000 10.000 12.570 
0.450 0.495 24.116 33.274 0.043 8.859 2.000 10.000 17.648 
0.450 0.495 33.274 45.756 0.043 100.000 1.000 20.000 24.064 
0.450 0.495 45.756 60.522 0.026 14.384 4.000 30.000 32.624 
0.450 0.495 60.522 80.956 0.043 100.000 2.000 30.000 42.388 
0.450 0.495 80.956 122.822 0.043 23.357 4.000 60.000 55.313 
0.450 0.495 122.822 201.053 0.026 14.384 9.000 100.000 102.940 
0.450 0.495 201.053 272.774 0.043 100.000 4.000 100.000 142.454 
0.450 0.495 272.774 350.804 0.043 8.859 30.000 200.000 197.337 
0.450 0.495 350.804 447.456 0.043 14.384 30.000 200.000 255.387 
0.450 0.495 447.456 561.647 0.026 14.384 40.000 200.000 315.731 
0.450 0.495 561.647 719.444 0.043 23.357 40.000 400.000 410.660 
0.450 0.495 719.444 1005.749 0.043 37.927 50.000 500.000 488.363 
0.450 0.495 1005.749 1648.888 0.043 23.357 70.000 900.000 737.723 
0.450 0.495 1648.888 2326.778 0.043 37.927 70.000 1000.000 1273.059 
0.450 0.495 2326.778 3054.588 0.026 14.384 200.000 1000.000 1685.690 
0.450 0.495 3054.588 3947.057 0.043 14.384 200.000 1000.000 2199.397 
0.450 0.495 3947.057 4999.954 0.026 37.927 200.000 1000.000 2805.555 
0.495 0.535 1.719 9.184 0.043 8.859 1.000 4.000 4.543 
0.495 0.535 9.184 16.080 0.043 14.384 1.000 9.000 8.480 
0.495 0.535 16.080 23.207 0.070 8.859 2.000 10.000 12.844 
0.495 0.535 23.207 32.608 0.043 14.384 2.000 10.000 17.953 
0.495 0.535 32.608 46.562 0.043 14.384 2.000 20.000 25.646 
0.495 0.535 46.562 66.215 0.043 14.384 4.000 30.000 35.612 
0.495 0.535 66.215 98.245 0.043 14.384 6.000 50.000 47.832 
0.495 0.535 98.245 183.224 0.043 8.859 8.000 90.000 79.283 
0.495 0.535 183.224 259.907 0.043 14.384 20.000 100.000 147.418 
