Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.450 0.495 122.822 201.053 0.026 14.384 9.000 100.000 250.039
0.450 0.495 201.053 272.774 0.043 100.000 4.000 100.000 358.918
0.450 0.495 272.774 350.804 0.043 8.859 30.000 200.000 455.366
0.450 0.495 350.804 447.456 0.043 14.384 30.000 200.000 568.050
0.450 0.495 447.456 561.647 0.026 14.384 40.000 200.000 703.094
0.450 0.495 561.647 719.444 0.043 23.357 40.000 400.000 903.604
0.450 0.495 719.444 1005.749 0.043 37.927 50.000 500.000 1187.584
0.450 0.495 1005.749 1648.888 0.043 23.357 70.000 900.000 1980.571
0.450 0.495 1648.888 2326.778 0.043 37.927 70.000 1000.000 2837.307
0.450 0.495 2326.778 3054.588 0.026 14.384 200.000 1000.000 3818.519
0.450 0.495 3054.588 3947.057 0.043 14.384 200.000 1000.000 4770.158
0.450 0.495 3947.057 4999.954 0.026 37.927 200.000 1000.000 6115.610
0.495 0.535 1.719 9.184 0.043 8.859 1.000 4.000 9.387
0.495 0.535 9.184 16.080 0.043 14.384 1.000 9.000 17.853
0.495 0.535 16.080 23.207 0.070 8.859 2.000 10.000 27.765
0.495 0.535 23.207 32.608 0.043 14.384 2.000 10.000 39.290
0.495 0.535 32.608 46.562 0.043 14.384 2.000 20.000 55.523
0.495 0.535 46.562 66.215 0.043 14.384 4.000 30.000 77.075
0.495 0.535 66.215 98.245 0.043 14.384 6.000 50.000 108.861
0.495 0.535 98.245 183.224 0.043 8.859 8.000 90.000 221.840
0.495 0.535 183.224 259.907 0.043 14.384 20.000 100.000 332.054
0.495 0.535 259.907 337.727 0.043 14.384 20.000 100.000 420.353
0.495 0.535 337.727 423.290 0.043 8.859 30.000 200.000 521.336
0.495 0.535 423.290 522.235 0.043 8.859 30.000 200.000 653.545
0.495 0.535 522.235 643.035 0.043 23.357 40.000 300.000 786.814
0.495 0.535 643.035 808.512 0.043 23.357 40.000 400.000 974.941
0.495 0.535 808.512 1199.351 0.043 23.357 50.000 600.000 1319.253
0.495 0.535 1199.351 1830.973 0.043 23.357 60.000 900.000 2207.519
0.495 0.535 1830.973 2488.161 0.043 8.859 200.000 1000.000 3028.242
0.495 0.535 2488.161 3193.542 0.043 37.927 100.000 1000.000 3857.883
0.495 0.535 3193.542 4028.770 0.070 8.859 300.000 1000.000 4799.645
0.495 0.535 4028.770 4999.882 0.043 14.384 300.000 1000.000 5999.255
0.535 0.572 1.749 9.180 0.043 5.456 1.000 4.000 9.447
0.535 0.572 9.180 15.997 0.070 14.384 1.000 8.000 18.069
0.535 0.572 15.997 22.843 0.043 14.384 1.000 10.000 27.062
0.535 0.572 22.843 32.493 0.070 14.384 2.000 10.000 37.155
0.535 0.572 32.493 48.002 0.043 23.357 2.000 20.000 56.429
0.535 0.572 48.002 71.296 0.043 14.384 3.000 30.000 80.637
0.535 0.572 71.296 133.024 0.043 37.927 4.000 70.000 134.707
0.535 0.572 133.024 228.428 0.043 100.000 4.000 100.000 275.554
0.535 0.572 228.428 310.373 0.043 8.859 20.000 100.000 376.426
0.535 0.572 310.373 386.934 0.070 14.384 30.000 200.000 464.919
0.535 0.572 386.934 471.430 0.043 8.859 30.000 200.000 576.037
0.535 0.572 471.430 568.039 0.043 14.384 40.000 200.000 687.852
0.535 0.572 568.039 687.001 0.026 14.384 40.000 300.000 829.296
0.535 0.572 687.001 857.702 0.043 14.384 50.000 400.000 1012.323
0.535 0.572 857.702 1336.082 0.043 37.927 50.000 600.000 1450.611
0.535 0.572 1336.082 1951.718 0.070 23.357 90.000 1000.000 2327.264
0.535 0.572 1951.718 2606.033 0.070 8.859 200.000 1000.000 3111.945
0.535 0.572 2606.033 3325.925 0.043 14.384 200.000 1000.000 3952.843
0.535 0.572 3325.925 4109.893 0.043 100.000 60.000 1000.000 4909.596
0.535 0.572 4109.893 4999.966 0.043 23.357 300.000 1000.000 5861.674
0.572 0.610 1.779 9.135 0.043 8.859 1.000 4.000 9.353
0.572 0.610 9.135 16.106 0.043 8.859 1.000 8.000 17.467
0.572 0.610 16.106 22.943 0.070 14.384 1.000 10.000 26.153
0.572 0.610 22.943 32.084 0.043 14.384 2.000 10.000 35.635
0.572 0.610 32.084 48.795 0.043 14.384 3.000 20.000 51.990
0.572 0.610 48.795 78.233 0.043 14.384 4.000 30.000 83.869
0.572 0.610 78.233 176.596 0.043 8.859 7.000 90.000 174.818
0.572 0.610 176.596 273.796 0.043 8.859 20.000 100.000 323.206
0.572 0.610 273.796 350.429 0.043 8.859 30.000 100.000 417.184
0.572 0.610 350.429 426.479 0.043 8.859 30.000 200.000 523.365
0.572 0.610 426.479 508.629 0.043 8.859 40.000 200.000 609.817
0.572 0.610 508.629 605.859 0.070 8.859 40.000 300.000 710.310
0.572 0.610 605.859 720.120 0.070 14.384 40.000 300.000 863.567
0.572 0.610 720.120 904.277 0.070 14.384 50.000 400.000 1030.124
0.572 0.610 904.277 1482.910 0.070 23.357 80.000 700.000 1578.114
0.572 0.610 1482.910 2066.077 0.070 23.357 70.000 900.000 2367.587
0.572 0.610 2066.077 2726.587 0.070 8.859 200.000 1000.000 3213.587
0.572 0.610 2726.587 3437.421 0.043 61.585 70.000 1000.000 4047.496
0.572 0.610 3437.421 4188.157 0.070 14.384 300.000 1000.000 4912.875
0.572 0.610 4188.157 4999.755 0.070 14.384 300.000 1000.000 5783.869
0.610 0.652 1.753 9.151 0.070 5.456 1.000 4.000 8.945
0.610 0.652 9.151 16.192 0.070 8.859 1.000 7.000 16.391
0.610 0.652 16.192 23.109 0.070 14.384 1.000 10.000 25.680
0.610 0.652 23.109 32.062 0.070 8.859 2.000 10.000 35.196
0.610 0.652 32.062 48.706 0.043 8.859 3.000 20.000 50.483
0.610 0.652 48.706 85.752 0.043 37.927 3.000 40.000 85.562
0.610 0.652 85.752 213.665 0.043 8.859 6.000 100.000 210.286
0.610 0.652 213.665 305.003 0.070 8.859 20.000 100.000 356.333
0.610 0.652 305.003 376.364 0.070 8.859 30.000 200.000 434.974
0.610 0.652 376.364 449.166 0.070 8.859 30.000 200.000 534.296
0.610 0.652 449.166 531.271 0.043 8.859 40.000 200.000 621.379
0.610 0.652 531.271 624.040 0.070 14.384 40.000 300.000 735.628
0.610 0.652 624.040 738.228 0.070 8.859 50.000 300.000 861.133
0.610 0.652 738.228 922.519 0.043 14.384 60.000 400.000 1045.766
0.610 0.652 922.519 1549.727 0.043 23.357 50.000 700.000 1638.709
0.610 0.652 1549.727 2144.778 0.043 14.384 100.000 900.000 2417.497
0.610 0.652 2144.778 2800.340 0.070 14.384 200.000 1000.000 3259.673
0.610 0.652 2800.340 3472.696 0.043 14.384 200.000 1000.000 4048.438
0.610 0.652 3472.696 4198.866 0.070 8.859 300.000 1000.000 4859.952
0.610 0.652 4198.866 4999.985 0.043 14.384 300.000 1000.000 5797.480
0.652 0.707 1.792 9.156 0.043 8.859 1.000 4.000 9.284
0.652 0.707 9.156 16.218 0.070 8.859 1.000 7.000 16.236
0.652 0.707 16.218 23.027 0.070 8.859 2.000 10.000 24.808
