Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.338 0.398 135.575 201.145 0.026 14.384 9.000 100.000 263.471
0.338 0.398 201.729 271.064 0.026 14.384 20.000 100.000 378.563
0.338 0.398 271.152 361.299 0.026 14.384 20.000 100.000 480.804
0.338 0.398 362.453 486.820 0.026 23.357 30.000 200.000 651.728
0.338 0.398 487.055 662.549 0.026 14.384 30.000 300.000 899.709
0.338 0.398 663.405 953.969 0.026 23.357 40.000 500.000 1221.401
0.338 0.398 960.016 1679.056 0.026 37.927 50.000 800.000 2088.336
0.338 0.398 1681.738 2598.805 0.026 37.927 90.000 1000.000 3506.030
0.337 0.398 2601.302 3647.277 0.026 100.000 40.000 1000.000 4982.044
0.337 0.398 3670.189 4999.433 0.026 23.357 200.000 1000.000 6504.531
0.398 0.452 1.978 10.355 0.043 8.859 1.000 5.000 11.014
0.398 0.452 10.401 17.988 0.043 23.357 1.000 10.000 21.740
0.398 0.452 18.021 25.695 0.026 23.357 1.000 10.000 33.245
0.399 0.452 25.830 34.210 0.043 23.357 2.000 10.000 43.802
0.399 0.452 34.321 44.874 0.026 23.357 2.000 10.000 57.330
0.398 0.452 44.927 56.776 0.026 37.927 3.000 30.000 72.413
0.398 0.451 56.803 70.211 0.026 14.384 3.000 30.000 91.737
0.398 0.452 70.312 89.510 0.043 100.000 2.000 40.000 116.085
0.398 0.452 89.661 129.911 0.043 37.927 4.000 60.000 156.453
0.398 0.452 131.326 202.354 0.026 14.384 9.000 90.000 261.079
0.398 0.452 202.703 271.826 0.043 14.384 20.000 100.000 363.034
0.398 0.452 272.186 353.221 0.026 14.384 20.000 100.000 471.405
0.398 0.452 353.814 460.780 0.016 14.384 30.000 200.000 591.119
0.398 0.452 462.651 603.986 0.026 14.384 40.000 300.000 764.536
0.399 0.452 605.282 826.010 0.043 23.357 40.000 400.000 1007.875
0.398 0.452 826.361 1319.627 0.026 37.927 40.000 600.000 1586.489
0.399 0.452 1322.536 2067.690 0.043 23.357 70.000 1000.000 2566.470
0.398 0.452 2068.651 2871.780 0.026 100.000 40.000 1000.000 3717.482
0.398 0.452 2877.626 3810.558 0.043 100.000 90.000 1000.000 4801.766
0.399 0.452 3814.166 4994.028 0.026 37.927 200.000 1000.000 6396.869
0.452 0.498 1.955 9.355 0.043 8.859 1.000 4.000 9.610
0.452 0.498 9.379 16.530 0.070 14.384 1.000 7.000 19.700
0.453 0.497 16.539 24.019 0.026 8.859 2.000 10.000 29.278
0.452 0.497 24.065 33.203 0.043 8.859 2.000 10.000 41.015
0.452 0.498 33.230 45.738 0.043 100.000 1.000 20.000 56.464
0.452 0.498 45.792 60.797 0.026 14.384 4.000 30.000 72.407
0.452 0.498 60.881 81.608 0.043 100.000 2.000 30.000 99.371
0.452 0.498 82.036 126.920 0.043 23.357 4.000 60.000 139.115
0.452 0.498 127.086 204.636 0.026 14.384 9.000 100.000 250.039
0.452 0.498 204.904 276.295 0.043 100.000 4.000 100.000 358.918
0.452 0.498 276.630 355.313 0.043 8.859 30.000 200.000 455.366
0.453 0.498 355.522 452.329 0.043 14.384 30.000 200.000 568.050
0.452 0.498 452.762 566.921 0.026 14.384 40.000 200.000 703.094
0.452 0.498 567.364 724.743 0.043 23.357 40.000 400.000 903.604
0.452 0.498 726.736 1018.736 0.043 37.927 50.000 500.000 1187.584
0.452 0.498 1019.393 1663.542 0.043 23.357 70.000 900.000 1980.571
0.452 0.498 1665.797 2337.963 0.043 37.927 70.000 1000.000 2837.307
0.452 0.498 2340.103 3059.740 0.026 14.384 200.000 1000.000 3818.519
0.452 0.498 3063.916 3947.942 0.043 14.384 200.000 1000.000 4770.158
0.452 0.498 3951.707 4999.567 0.026 37.927 200.000 1000.000 6115.610
0.498 0.537 2.152 9.177 0.043 8.859 1.000 4.000 9.387
0.498 0.538 9.193 16.075 0.043 14.384 1.000 9.000 17.853
0.498 0.538 16.150 23.136 0.070 8.859 2.000 10.000 27.765
0.498 0.538 23.150 32.545 0.043 14.384 2.000 10.000 39.290
0.498 0.538 32.622 46.652 0.043 14.384 2.000 20.000 55.523
0.498 0.538 46.660 66.030 0.043 14.384 4.000 30.000 77.075
0.498 0.538 66.469 99.480 0.043 14.384 6.000 50.000 108.861
0.498 0.538 99.579 185.403 0.043 8.859 8.000 90.000 221.840
0.498 0.538 185.991 263.871 0.043 14.384 20.000 100.000 332.054
0.498 0.538 264.122 341.915 0.043 14.384 20.000 100.000 420.353
0.498 0.538 342.172 427.570 0.043 8.859 30.000 200.000 521.336
0.498 0.538 427.700 526.292 0.043 8.859 30.000 200.000 653.545
0.498 0.538 526.541 647.083 0.043 23.357 40.000 300.000 786.814
0.498 0.538 647.928 809.307 0.043 23.357 40.000 400.000 974.941
0.498 0.538 812.012 1202.813 0.043 23.357 50.000 600.000 1319.253
0.498 0.538 1204.736 1835.326 0.043 23.357 60.000 900.000 2207.519
0.498 0.538 1846.020 2488.443 0.043 8.859 200.000 1000.000 3028.242
0.498 0.538 2495.521 3196.959 0.043 37.927 100.000 1000.000 3857.883
0.498 0.538 3204.459 4020.984 0.070 8.859 300.000 1000.000 4799.645
0.498 0.538 4033.239 4987.704 0.043 14.384 300.000 1000.000 5999.255
0.538 0.575 1.833 9.150 0.043 5.456 1.000 4.000 9.447
0.538 0.576 9.179 15.931 0.070 14.384 1.000 8.000 18.069
0.538 0.576 16.018 22.821 0.043 14.384 1.000 10.000 27.062
0.538 0.576 22.885 32.460 0.070 14.384 2.000 10.000 37.155
0.538 0.576 32.480 47.978 0.043 23.357 2.000 20.000 56.429
0.538 0.575 48.197 72.124 0.043 14.384 3.000 30.000 80.637
0.538 0.575 72.520 137.255 0.043 37.927 4.000 70.000 134.707
0.538 0.576 137.790 232.796 0.043 100.000 4.000 100.000 275.554
0.538 0.576 233.032 313.674 0.043 8.859 20.000 100.000 376.426
0.538 0.576 314.685 391.219 0.070 14.384 30.000 200.000 464.919
0.538 0.575 392.006 475.707 0.043 8.859 30.000 200.000 576.037
0.538 0.576 475.892 571.503 0.043 14.384 40.000 200.000 687.852
0.538 0.576 571.910 689.608 0.026 14.384 40.000 300.000 829.296
0.538 0.576 689.712 861.244 0.043 14.384 50.000 400.000 1012.323
0.538 0.576 861.966 1351.318 0.043 37.927 50.000 600.000 1450.611
0.538 0.576 1355.847 1958.402 0.070 23.357 90.000 1000.000 2327.264
0.538 0.576 1966.749 2616.674 0.070 8.859 200.000 1000.000 3111.945
0.538 0.576 2625.530 3339.611 0.043 14.384 200.000 1000.000 3952.843
0.538 0.575 3342.688 4114.079 0.043 100.000 60.000 1000.000 4909.596
0.539 0.576 4120.973 4997.138 0.043 23.357 300.000 1000.000 5861.674
0.576 0.613 2.004 9.145 0.043 8.859 1.000 4.000 9.353
0.576 0.613 9.156 16.121 0.043 8.859 1.000 8.000 17.467
0.576 0.613 16.147 22.896 0.070 14.384 1.000 10.000 26.153
0.576 0.613 22.961 31.939 0.043 14.384 2.000 10.000 35.635
0.576 0.613 32.126 48.566 0.043 14.384 3.000 20.000 51.990
0.576 0.613 48.880 78.340 0.043 14.384 4.000 30.000 83.869
0.576 0.613 78.498 178.590 0.043 8.859 7.000 90.000 174.818
0.576 0.613 178.940 276.141 0.043 8.859 20.000 100.000 323.206
0.576 0.613 276.917 352.562 0.043 8.859 30.000 100.000 417.184
0.576 0.613 352.995 428.453 0.043 8.859 30.000 200.000 523.365
0.576 0.613 428.851 510.691 0.043 8.859 40.000 200.000 609.817
0.576 0.613 510.930 607.817 0.070 8.859 40.000 300.000 710.310
0.576 0.613 608.065 722.344 0.070 14.384 40.000 300.000 863.567
0.576 0.613 722.863 906.069 0.070 14.384 50.000 400.000 1030.124
0.576 0.613 906.605 1490.643 0.070 23.357 80.000 700.000 1578.114
0.576 0.613 1497.060 2076.534 0.070 23.357 70.000 900.000 2367.587
0.576 0.613 2081.580 2732.005 0.070 8.859 200.000 1000.000 3213.587
0.576 0.613 2737.392 3444.091 0.043 61.585 70.000 1000.000 4047.496
0.576 0.613 3447.154 4184.800 0.070 14.384 300.000 1000.000 4912.875
0.576 0.613 4196.782 4994.516 0.070 14.384 300.000 1000.000 5783.869
0.614 0.655 1.920 9.140 0.070 5.456 1.000 4.000 8.945
0.614 0.655 9.159 16.179 0.070 8.859 1.000 7.000 16.391
0.614 0.655 16.211 23.117 0.070 14.384 1.000 10.000 25.680
0.614 0.655 23.150 32.102 0.070 8.859 2.000 10.000 35.196
0.614 0.655 32.116 48.948 0.043 8.859 3.000 20.000 50.483
0.614 0.655 49.063 86.976 0.043 37.927 3.000 40.000 85.562
0.614 0.655 87.583 217.442 0.043 8.859 6.000 100.000 210.286
0.614 0.655 218.061 307.693 0.070 8.859 20.000 100.000 356.333
0.614 0.655 308.195 378.591 0.070 8.859 30.000 200.000 434.974
0.613 0.655 378.777 451.063 0.070 8.859 30.000 200.000 534.296
0.614 0.655 451.181 533.182 0.043 8.859 40.000 200.000 621.379
0.613 0.655 533.618 626.555 0.070 14.384 40.000 300.000 735.628
0.614 0.655 626.625 740.088 0.070 8.859 50.000 300.000 861.133
0.614 0.655 740.449 927.446 0.043 14.384 60.000 400.000 1045.766
0.614 0.655 929.395 1556.441 0.043 23.357 50.000 700.000 1638.709
0.614 0.655 1559.579 2147.062 0.043 14.384 100.000 900.000 2417.497
0.614 0.655 2149.794 2801.108 0.070 14.384 200.000 1000.000 3259.673
0.614 0.655 2805.660 3475.628 0.043 14.384 200.000 1000.000 4048.438
0.614 0.655 3484.170 4205.894 0.070 8.859 300.000 1000.000 4859.952
0.614 0.655 4209.288 4999.251 0.043 14.384 300.000 1000.000 5797.480
0.655 0.709 2.972 9.166 0.043 8.859 1.000 4.000 9.284
0.656 0.710 9.184 16.191 0.070 8.859 1.000 7.000 16.236
