Ice-Agg collection for the random orientation.
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.538 0.556 68.910 87.528 0.010 100.000 1.000 30.000 0.004
0.538 0.556 87.528 113.734 0.010 100.000 1.000 50.000 0.005
0.538 0.556 113.734 154.443 0.010 100.000 2.000 70.000 0.002
0.538 0.556 154.443 210.985 0.010 100.000 2.000 90.000 -0.003
0.538 0.556 210.985 296.495 0.010 100.000 2.000 100.000 0.010
0.538 0.556 296.495 401.600 0.010 100.000 3.000 100.000 -0.014
0.538 0.556 401.600 521.571 0.010 100.000 5.000 200.000 0.006
0.538 0.556 521.571 661.582 0.010 100.000 5.000 300.000 -0.001
0.538 0.556 661.582 833.752 0.010 100.000 7.000 300.000 0.007
0.538 0.556 833.752 1081.348 0.010 100.000 8.000 500.000 0.008
0.538 0.556 1081.348 1468.501 0.010 100.000 9.000 600.000 -0.001
0.538 0.556 1468.501 2015.895 0.010 100.000 20.000 800.000 -0.002
0.538 0.556 2015.895 2794.352 0.010 100.000 20.000 1000.000 0.006
0.538 0.556 2794.352 3825.022 0.010 100.000 30.000 1000.000 0.009
0.538 0.556 3825.022 4999.915 0.010 100.000 40.000 1000.000 -0.001
0.556 0.576 2.057 16.235 0.010 37.927 1.000 7.000 -0.077
0.556 0.576 16.235 27.663 0.010 61.585 1.000 10.000 -0.001
0.556 0.576 27.663 40.170 0.010 37.927 1.000 10.000 -0.003
0.556 0.576 40.170 53.725 0.010 100.000 1.000 20.000 0.007
0.556 0.576 53.725 69.260 0.010 100.000 1.000 30.000 0.007
0.556 0.576 69.260 88.182 0.010 61.585 1.000 30.000 -0.000
0.556 0.576 88.182 114.177 0.010 100.000 1.000 50.000 0.002
0.556 0.576 114.177 155.669 0.010 100.000 1.000 70.000 0.001
0.556 0.576 155.669 214.206 0.010 100.000 2.000 90.000 0.002
0.556 0.576 214.206 299.457 0.010 100.000 2.000 100.000 0.009
0.556 0.576 299.457 406.963 0.010 100.000 4.000 100.000 0.011
0.556 0.576 406.963 528.749 0.010 100.000 4.000 200.000 0.017
0.556 0.576 528.749 667.432 0.010 100.000 5.000 300.000 0.007
0.556 0.576 667.432 836.908 0.010 100.000 7.000 300.000 0.008
0.556 0.576 836.908 1078.523 0.010 100.000 8.000 500.000 0.003
