Ice-Agg collection for the random orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.522 0.539 297.366 402.709 0.010 100.000 3.000 100.000 472.524
0.522 0.539 402.979 520.545 0.010 100.000 5.000 200.000 618.666
0.522 0.539 521.545 660.007 0.010 100.000 6.000 200.000 789.045
0.522 0.539 661.263 836.906 0.010 100.000 6.000 300.000 1007.591
0.522 0.539 837.700 1085.000 0.010 100.000 8.000 400.000 1263.120
0.522 0.539 1086.150 1479.660 0.010 100.000 10.000 600.000 1684.541
0.522 0.539 1486.195 2026.637 0.010 100.000 20.000 800.000 2398.419
0.522 0.538 2030.617 2802.375 0.010 100.000 20.000 1000.000 3304.766
0.522 0.539 2803.240 3820.514 0.010 100.000 30.000 1000.000 4470.962
0.522 0.539 3829.849 4988.846 0.010 100.000 40.000 1000.000 5931.126
0.539 0.557 2.267 15.971 0.010 14.384 1.000 6.000 15.408
0.539 0.557 16.012 27.101 0.010 23.357 1.000 10.000 29.585
0.539 0.557 27.195 39.663 0.010 37.927 1.000 10.000 45.505
0.539 0.557 39.715 53.202 0.010 61.585 1.000 20.000 63.329
0.539 0.557 53.299 68.862 0.010 100.000 1.000 30.000 81.742
0.539 0.557 68.921 87.411 0.010 100.000 1.000 30.000 102.462
0.539 0.557 87.485 113.666 0.010 100.000 1.000 50.000 128.958
0.539 0.557 113.736 154.702 0.010 100.000 2.000 70.000 180.164
0.539 0.557 155.114 211.254 0.010 100.000 2.000 90.000 247.074
0.539 0.557 211.587 296.826 0.010 100.000 2.000 100.000 335.757
0.539 0.557 297.541 401.602 0.010 100.000 3.000 100.000 469.900
0.539 0.557 401.950 521.928 0.010 100.000 5.000 200.000 622.694
0.539 0.557 522.425 661.560 0.010 100.000 5.000 300.000 785.079
0.539 0.557 662.076 833.913 0.010 100.000 7.000 300.000 977.890
0.539 0.557 834.944 1080.391 0.010 100.000 8.000 500.000 1242.349
