Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.151 0.187 58.895 68.678 0.016 37.927 3.000 40.000 109.920
0.151 0.186 68.686 79.085 0.010 37.927 4.000 30.000 114.623
0.151 0.187 79.197 91.648 0.016 37.927 4.000 50.000 134.122
0.151 0.186 91.706 109.223 0.016 23.357 5.000 60.000 171.009
0.151 0.187 109.256 137.521 0.016 23.357 7.000 80.000 200.445
0.151 0.186 138.267 205.236 0.016 100.000 4.000 100.000 278.096
0.151 0.187 205.625 275.030 0.010 23.357 20.000 100.000 437.699
0.151 0.187 275.320 354.592 0.016 37.927 20.000 200.000 464.247
0.151 0.187 354.950 458.856 0.010 23.357 20.000 200.000 791.123
0.151 0.187 460.608 631.926 0.010 37.927 30.000 300.000 934.134
0.151 0.187 632.854 886.613 0.010 61.585 40.000 400.000 1294.755
0.151 0.187 889.082 1415.032 0.010 61.585 40.000 700.000 2005.407
0.151 0.187 1417.938 2404.042 0.010 61.585 70.000 1000.000 3879.882
0.151 0.186 2407.860 3579.987 0.010 100.000 80.000 1000.000 5364.403
0.151 0.186 3586.111 4997.707 0.016 23.357 200.000 1000.000 6213.755
0.187 0.229 2.218 13.733 0.016 23.357 1.000 7.000 15.547
0.187 0.229 13.762 24.817 0.016 23.357 1.000 10.000 29.833
0.187 0.229 24.959 35.845 0.016 23.357 2.000 20.000 49.267
0.187 0.229 35.959 45.819 0.016 37.927 2.000 20.000 57.171
0.187 0.229 45.863 54.600 0.016 37.927 2.000 30.000 70.545
0.187 0.229 54.734 63.520 0.016 23.357 3.000 30.000 96.031
0.187 0.229 63.535 72.970 0.016 23.357 3.000 40.000 114.069
0.187 0.229 72.996 85.192 0.016 23.357 4.000 40.000 125.854
0.187 0.229 85.262 101.394 0.026 23.357 5.000 50.000 150.460
0.187 0.229 101.465 128.731 0.026 23.357 7.000 70.000 161.047
0.187 0.229 129.011 187.665 0.016 23.357 8.000 100.000 253.214
0.187 0.229 187.948 256.019 0.016 14.384 20.000 100.000 294.349
0.187 0.229 256.338 336.541 0.016 23.357 20.000 100.000 417.669
0.187 0.229 336.580 444.626 0.016 23.357 20.000 200.000 544.745
0.187 0.229 444.657 612.322 0.010 37.927 30.000 300.000 727.147
0.187 0.229 613.365 861.945 0.010 23.357 40.000 400.000 1014.351
0.187 0.229 863.450 1393.113 0.016 100.000 40.000 700.000 1425.482
0.187 0.229 1400.933 2393.946 0.016 37.927 70.000 1000.000 2272.244
0.187 0.229 2394.460 3558.045 0.010 61.585 80.000 1000.000 3879.268
0.187 0.229 3566.947 4999.832 0.010 23.357 200.000 1000.000 5717.375
0.229 0.279 1.744 13.789 0.026 23.357 1.000 6.000 14.034
0.229 0.279 13.840 24.551 0.016 23.357 1.000 10.000 28.392
0.229 0.278 24.611 33.797 0.016 23.357 2.000 10.000 48.469
0.229 0.279 33.898 42.236 0.016 23.357 2.000 20.000 57.069
0.229 0.279 42.282 50.477 0.026 14.384 3.000 20.000 64.175
0.229 0.279 50.582 59.070 0.026 23.357 3.000 20.000 85.635
0.229 0.279 59.082 68.185 0.026 14.384 4.000 40.000 96.685
0.229 0.279 68.294 79.794 0.026 37.927 4.000 40.000 101.241
0.229 0.279 79.888 95.327 0.026 37.927 4.000 40.000 140.740
0.229 0.279 95.361 121.024 0.026 23.357 4.000 70.000 165.661
0.229 0.279 121.282 174.910 0.026 100.000 3.000 90.000 213.312
0.229 0.279 175.696 241.894 0.026 100.000 4.000 100.000 348.571
0.229 0.279 241.977 325.088 0.026 23.357 20.000 200.000 494.617
0.229 0.279 326.451 431.237 0.016 23.357 20.000 200.000 589.515
0.229 0.279 431.889 595.333 0.016 23.357 30.000 200.000 766.006
0.229 0.279 597.209 843.943 0.016 37.927 40.000 500.000 1126.940
0.229 0.279 844.538 1393.645 0.016 37.927 40.000 700.000 1790.647
0.229 0.279 1397.948 2403.657 0.026 61.585 60.000 1000.000 3486.640
0.229 0.279 2410.195 3566.494 0.016 37.927 100.000 1000.000 4608.038
0.229 0.279 3572.102 4998.030 0.016 61.585 90.000 1000.000 6756.410
0.279 0.337 1.757 13.023 0.026 14.384 1.000 7.000 11.068
0.279 0.337 13.123 22.996 0.026 14.384 1.000 10.000 26.277
0.279 0.337 23.005 31.126 0.026 37.927 1.000 10.000 42.211
0.279 0.337 31.136 38.973 0.026 14.384 2.000 20.000 43.784
0.280 0.337 38.990 47.018 0.026 23.357 2.000 20.000 53.935
0.279 0.337 47.089 55.394 0.026 37.927 2.000 20.000 64.997
0.279 0.337 55.501 64.968 0.026 23.357 2.000 30.000 89.738
0.279 0.337 65.024 76.578 0.026 61.585 2.000 40.000 98.076
0.279 0.337 76.611 92.332 0.026 23.357 4.000 30.000 126.340
0.279 0.337 92.361 117.637 0.026 23.357 6.000 70.000 131.049
0.279 0.337 117.838 173.575 0.026 37.927 4.000 100.000 203.953
0.279 0.337 174.345 240.084 0.026 14.384 20.000 100.000 253.822
0.279 0.337 240.823 325.084 0.026 14.384 20.000 100.000 403.668
0.279 0.337 325.786 437.370 0.016 14.384 20.000 200.000 461.530
0.279 0.337 438.615 602.487 0.016 14.384 30.000 300.000 784.036
0.279 0.337 606.671 846.955 0.026 23.357 40.000 400.000 1084.231
0.279 0.337 849.864 1424.632 0.016 23.357 50.000 800.000 1221.657
0.279 0.337 1425.307 2437.268 0.026 37.927 90.000 1000.000 2093.781
0.279 0.337 2445.545 3568.360 0.026 23.357 200.000 1000.000 4201.439
0.279 0.337 3580.154 4998.429 0.026 61.585 100.000 1000.000 6126.350
0.337 0.398 2.184 12.009 0.026 14.384 1.000 6.000 10.564
0.337 0.398 12.103 20.898 0.026 23.357 1.000 10.000 22.326
0.338 0.398 20.935 28.536 0.026 14.384 2.000 10.000 34.024
0.337 0.398 28.597 36.404 0.026 14.384 2.000 10.000 39.005
0.338 0.398 36.452 45.048 0.026 23.357 2.000 20.000 56.535
0.337 0.398 45.143 54.481 0.026 14.384 3.000 20.000 68.019
0.337 0.398 54.492 65.260 0.026 14.384 4.000 30.000 71.714
0.338 0.398 65.377 78.489 0.026 14.384 4.000 30.000 103.936
0.337 0.398 78.813 96.863 0.026 14.384 5.000 50.000 117.658
0.338 0.398 97.069 135.431 0.026 37.927 4.000 70.000 158.595
0.338 0.398 135.575 201.145 0.026 14.384 9.000 100.000 231.107
0.338 0.398 201.729 271.064 0.026 14.384 20.000 100.000 340.287
0.338 0.398 271.152 361.299 0.026 14.384 20.000 100.000 417.899
0.338 0.398 362.453 486.820 0.026 23.357 30.000 200.000 647.528
0.338 0.398 487.055 662.549 0.026 14.384 30.000 300.000 660.726
0.338 0.398 663.405 953.969 0.026 23.357 40.000 500.000 883.788
0.338 0.398 960.016 1679.056 0.026 37.927 50.000 800.000 1759.885
0.338 0.398 1681.738 2598.805 0.026 37.927 90.000 1000.000 2372.980
0.337 0.398 2601.302 3647.277 0.026 100.000 40.000 1000.000 4443.038
0.337 0.398 3670.189 4999.433 0.026 23.357 200.000 1000.000 4829.019
0.398 0.452 1.978 10.355 0.043 8.859 1.000 5.000 7.908
0.398 0.452 10.401 17.988 0.043 23.357 1.000 10.000 17.011
0.398 0.452 18.021 25.695 0.026 23.357 1.000 10.000 28.824
0.399 0.452 25.830 34.210 0.043 23.357 2.000 10.000 39.988
0.399 0.452 34.321 44.874 0.026 23.357 2.000 10.000 44.740
0.398 0.452 44.927 56.776 0.026 37.927 3.000 30.000 67.462
0.398 0.451 56.803 70.211 0.026 14.384 3.000 30.000 70.494
0.398 0.452 70.312 89.510 0.043 100.000 2.000 40.000 108.026
0.398 0.452 89.661 129.911 0.043 37.927 4.000 60.000 139.866
0.398 0.452 131.326 202.354 0.026 14.384 9.000 90.000 177.082
0.398 0.452 202.703 271.826 0.043 14.384 20.000 100.000 263.536
0.398 0.452 272.186 353.221 0.026 14.384 20.000 100.000 433.583
0.398 0.452 353.814 460.780 0.016 14.384 30.000 200.000 453.619
0.398 0.452 462.651 603.986 0.026 14.384 40.000 300.000 731.180
0.399 0.452 605.282 826.010 0.043 23.357 40.000 400.000 768.977
