Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.235 0.284 67.886 79.469 0.026 37.927 4.000 40.000 101.241
0.235 0.284 79.469 95.017 0.026 37.927 4.000 40.000 140.740
0.235 0.284 95.017 120.764 0.026 23.357 4.000 70.000 165.661
0.235 0.284 120.764 174.459 0.026 100.000 3.000 90.000 213.312
0.235 0.284 174.459 240.497 0.026 100.000 4.000 100.000 348.571
0.235 0.284 240.497 323.967 0.026 23.357 20.000 200.000 494.617
0.235 0.284 323.967 431.398 0.016 23.357 20.000 200.000 589.515
0.235 0.284 431.398 597.724 0.016 23.357 30.000 200.000 766.006
0.235 0.284 597.724 843.095 0.016 37.927 40.000 500.000 1126.940
0.235 0.284 843.095 1396.535 0.016 37.927 40.000 700.000 1790.647
0.235 0.284 1396.535 2413.788 0.026 61.585 60.000 1000.000 3486.640
0.235 0.284 2413.788 3567.482 0.016 37.927 100.000 1000.000 4608.038
0.235 0.284 3567.482 4999.758 0.016 61.585 90.000 1000.000 6756.410
0.284 0.340 1.709 12.944 0.026 14.384 1.000 7.000 11.068
0.284 0.340 12.944 22.779 0.026 14.384 1.000 10.000 26.277
0.284 0.340 22.779 30.889 0.026 37.927 1.000 10.000 42.211
0.284 0.340 30.889 38.678 0.026 14.384 2.000 20.000 43.784
0.284 0.340 38.678 46.776 0.026 23.357 2.000 20.000 53.935
0.284 0.340 46.776 55.211 0.026 37.927 2.000 20.000 64.997
0.284 0.340 55.211 64.824 0.026 23.357 2.000 30.000 89.738
0.284 0.340 64.824 76.362 0.026 61.585 2.000 40.000 98.076
0.284 0.340 76.362 92.103 0.026 23.357 4.000 30.000 126.340
0.284 0.340 92.103 117.298 0.026 23.357 6.000 70.000 131.049
0.284 0.340 117.298 173.707 0.026 37.927 4.000 100.000 203.953
0.284 0.340 173.707 240.314 0.026 14.384 20.000 100.000 253.822
0.284 0.340 240.314 325.206 0.026 14.384 20.000 100.000 403.668
0.284 0.340 325.206 438.062 0.016 14.384 20.000 200.000 461.530
0.284 0.340 438.062 605.665 0.016 14.384 30.000 300.000 784.036
0.284 0.340 605.665 846.637 0.026 23.357 40.000 400.000 1084.231
0.284 0.340 846.637 1428.879 0.016 23.357 50.000 800.000 1221.657
0.284 0.340 1428.879 2443.837 0.026 37.927 90.000 1000.000 2093.781
0.284 0.340 2443.837 3582.201 0.026 23.357 200.000 1000.000 4201.439
0.284 0.340 3582.201 4999.755 0.026 61.585 100.000 1000.000 6126.350
0.340 0.398 1.769 12.032 0.026 14.384 1.000 6.000 10.564
0.340 0.398 12.032 20.846 0.026 23.357 1.000 10.000 22.326
0.340 0.398 20.846 28.486 0.026 14.384 2.000 10.000 34.024
0.340 0.398 28.486 36.401 0.026 14.384 2.000 10.000 39.005
0.340 0.398 36.401 45.051 0.026 23.357 2.000 20.000 56.535
0.340 0.398 45.051 54.494 0.026 14.384 3.000 20.000 68.019
0.340 0.398 54.494 65.416 0.026 14.384 4.000 30.000 71.714
