Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.598 0.623 54.671 87.419 32.630
0.598 0.623 87.448 155.778 45.103
0.598 0.623 155.985 300.578 56.511
0.598 0.623 301.284 524.461 71.825
0.598 0.623 525.049 827.982 90.806
0.598 0.623 828.433 1432.035 124.194
0.598 0.623 1433.648 2820.649 168.697
0.598 0.623 2821.873 4985.141 241.427
0.623 0.655 2.537 29.125 341.857
0.623 0.654 29.239 55.145 436.291
0.623 0.655 55.190 87.207 558.991
0.623 0.655 87.410 154.585 689.468
0.623 0.655 155.191 305.785 872.946
0.623 0.655 305.996 531.132 1163.410
0.623 0.655 532.143 838.210 1613.371
0.623 0.655 839.088 1445.463 2250.457
0.623 0.655 1450.400 2830.915 3122.658
0.623 0.655 2842.380 4998.905 4126.116
0.655 0.701 2.089 29.269 11.724
0.655 0.701 29.337 54.726 23.320
0.655 0.701 54.876 87.138 35.249
0.655 0.701 87.212 155.637 46.297
0.655 0.701 155.753 307.772 59.536
0.655 0.701 309.239 534.004 74.123
0.655 0.701 534.649 829.257 93.912
0.655 0.701 831.737 1422.476 125.750
0.655 0.700 1426.100 2821.523 171.810
0.655 0.701 2830.035 4996.633 253.364
0.701 0.906 3.602 29.458 337.677
0.701 0.918 29.500 54.590 454.869
0.701 0.919 54.757 86.264 573.945
0.701 0.929 86.515 153.567 689.005
0.701 0.934 153.969 303.184 890.574
0.701 0.915 303.490 526.643 1145.781
0.701 0.920 529.002 817.205 1665.491
0.701 0.925 817.775 1418.675 2298.126
0.701 0.927 1418.909 2823.350 3242.241
0.701 0.934 2827.597 4999.959 4142.374
