Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.279 0.337 55.479 76.584 25.019
0.279 0.337 76.729 117.478 35.644
0.279 0.337 117.812 239.198 55.170
0.279 0.337 240.306 438.213 84.248
0.279 0.337 438.734 844.828 177.150
0.279 0.337 847.069 2442.445 260.793
0.279 0.337 2448.521 4998.343 332.761
0.338 0.398 2.243 20.864 410.504
0.337 0.398 20.927 36.388 479.181
0.337 0.398 36.490 54.454 601.340
0.338 0.398 54.499 78.585 703.955
0.338 0.398 78.685 135.345 933.732
0.337 0.398 135.597 270.995 1551.178
0.337 0.398 271.291 485.913 2222.055
0.337 0.398 486.967 953.969 2769.392
0.337 0.398 954.640 2594.481 3601.670
0.337 0.398 2600.412 4991.744 4148.156
0.398 0.452 2.134 17.980 6.504
0.398 0.452 17.999 34.230 11.512
0.398 0.452 34.255 56.623 17.834
0.398 0.452 56.795 89.506 25.142
0.398 0.452 89.560 202.292 35.352
0.398 0.452 202.657 353.237 57.302
0.398 0.452 353.646 604.640 121.875
0.398 0.452 605.114 1317.778 210.051
0.398 0.452 1320.458 2868.914 293.742
0.398 0.452 2873.696 4999.320 379.730
0.452 0.498 1.896 16.530 454.535
0.452 0.498 16.553 33.199 516.615
0.452 0.498 33.355 60.839 637.715
0.452 0.498 60.931 126.799 742.612
0.452 0.498 127.380 276.544 1099.210
0.452 0.498 276.590 452.242 1622.013
0.452 0.498 452.864 725.986 2286.503
0.452 0.498 726.409 1659.569 2960.808
0.452 0.498 1665.600 3063.160 3659.019
0.452 0.498 3068.818 4996.789 4344.540
0.498 0.538 1.737 16.084 6.850
0.498 0.538 16.103 32.567 12.314
0.498 0.538 32.615 66.261 19.023
0.498 0.538 66.486 184.843 25.808
0.498 0.538 185.991 341.953 36.765
0.498 0.538 342.255 526.064 57.846
0.498 0.538 526.530 809.679 151.481
0.498 0.538 812.034 1836.291 245.175
0.498 0.538 1836.583 3196.894 321.364
0.498 0.538 3199.078 4995.635 389.464
0.538 0.576 1.798 15.958 470.130
0.538 0.576 16.006 32.378 552.166
0.538 0.576 32.470 72.131 658.982
0.538 0.576 72.195 232.537 784.189
0.538 0.576 232.950 390.954 1119.585
0.538 0.576 391.753 571.026 1709.696
0.538 0.576 571.713 860.819 2408.956
0.538 0.576 861.967 1965.453 3005.398
0.538 0.576 1967.343 3340.824 3679.680
0.538 0.576 3346.423 4996.119 4469.554
0.576 0.613 1.954 16.118 7.042
0.576 0.613 16.152 32.038 12.722
0.576 0.613 32.159 78.477 18.315
0.576 0.613 79.029 275.288 26.200
0.576 0.613 276.525 428.681 36.058
0.576 0.613 429.451 606.820 64.745
0.576 0.613 608.090 906.308 177.881
0.576 0.613 906.946 2075.286 284.209
0.576 0.613 2077.471 3441.348 348.317
0.576 0.613 3447.103 4991.711 418.858
0.614 0.655 1.936 16.179 489.645
0.614 0.655 16.195 32.040 579.742
0.614 0.655 32.123 87.270 654.382
0.613 0.655 87.456 307.454 792.538
0.613 0.655 308.459 451.125 1276.658
0.614 0.655 451.224 625.831 1820.388
0.614 0.655 627.257 926.815 2417.940
0.614 0.655 928.867 2148.502 3150.389
0.614 0.655 2149.389 3476.249 3679.523
0.614 0.655 3479.657 4993.521 4480.845
0.655 0.710 1.828 16.218 7.040
0.655 0.710 16.289 31.239 12.866
0.655 0.709 31.330 97.522 18.451
0.655 0.709 98.585 331.696 25.377
0.655 0.709 331.824 471.800 35.272
0.655 0.710 471.910 642.371 64.803
0.655 0.710 643.727 947.488 217.303
0.655 0.710 948.341 2221.491 309.883
0.655 0.710 2224.608 3541.197 377.114
0.655 0.709 3551.712 4999.472 447.574
0.710 0.921 1.816 15.995 523.219
0.710 0.948 15.998 30.037 587.498
0.710 0.907 30.045 119.843 704.595
0.710 0.925 120.190 348.103 820.092
0.710 0.944 348.483 489.829 1293.665
0.710 0.943 490.093 657.125 1888.336
0.710 0.939 657.962 952.994 2503.135
0.710 0.904 954.487 2277.012 3184.892
0.710 0.900 2280.161 3585.568 3880.332
0.710 0.922 3589.536 4998.198 4522.630
