Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.572 0.610 48.795 78.233 57.302
0.572 0.610 78.233 176.596 121.875
0.572 0.610 176.596 273.796 210.051
0.572 0.610 273.796 350.429 293.742
0.572 0.610 350.429 426.479 379.730
0.572 0.610 426.479 508.629 454.535
0.572 0.610 508.629 605.859 516.615
0.572 0.610 605.859 720.120 637.715
0.572 0.610 720.120 904.277 742.612
0.572 0.610 904.277 1482.910 1099.210
0.572 0.610 1482.910 2066.077 1622.013
0.572 0.610 2066.077 2726.587 2286.503
0.572 0.610 2726.587 3437.421 2960.808
0.572 0.610 3437.421 4188.157 3659.019
0.572 0.610 4188.157 4999.755 4344.540
0.610 0.652 1.753 9.151 6.850
0.610 0.652 9.151 16.192 12.314
0.610 0.652 16.192 23.109 19.023
0.610 0.652 23.109 32.062 25.808
0.610 0.652 32.062 48.706 36.765
0.610 0.652 48.706 85.752 57.846
0.610 0.652 85.752 213.665 151.481
0.610 0.652 213.665 305.003 245.175
0.610 0.652 305.003 376.364 321.364
0.610 0.652 376.364 449.166 389.464
0.610 0.652 449.166 531.271 470.130
0.610 0.652 531.271 624.040 552.166
0.610 0.652 624.040 738.228 658.982
0.610 0.652 738.228 922.519 784.189
0.610 0.652 922.519 1549.727 1119.585
0.610 0.652 1549.727 2144.778 1709.696
0.610 0.652 2144.778 2800.340 2408.956
0.610 0.652 2800.340 3472.696 3005.398
0.610 0.652 3472.696 4198.866 3679.680
0.610 0.652 4198.866 4999.985 4469.554
0.652 0.707 1.792 9.156 7.042
0.652 0.707 9.156 16.218 12.722
0.652 0.707 16.218 23.027 18.315
0.652 0.707 23.027 31.364 26.200
0.652 0.707 31.364 48.321 36.058
0.652 0.707 48.321 98.495 64.745
0.652 0.707 98.495 248.480 177.881
0.652 0.707 248.480 331.097 284.209
0.652 0.707 331.097 398.920 348.317
0.652 0.707 398.920 471.442 418.858
0.652 0.707 471.442 552.188 489.645
0.652 0.707 552.188 643.165 579.742
0.652 0.707 643.165 756.003 654.382
0.652 0.707 756.003 949.802 792.538
0.652 0.707 949.802 1603.359 1276.658
0.652 0.707 1603.359 2220.500 1820.388
0.652 0.707 2220.500 2856.873 2417.940
0.652 0.707 2856.873 3543.600 3150.389
0.652 0.707 3543.600 4259.175 3679.523
0.652 0.707 4259.175 4999.898 4480.845
0.707 0.965 1.710 9.069 7.040
0.707 0.965 9.069 16.011 12.866
0.707 0.965 16.011 22.534 18.451
0.707 0.965 22.534 30.083 25.377
0.707 0.965 30.083 46.160 35.272
0.707 0.965 46.160 119.312 64.803
0.707 0.965 119.312 273.554 217.303
0.707 0.965 273.554 347.769 309.883
0.707 0.965 347.769 418.028 377.114
0.707 0.965 418.028 489.677 447.574
0.707 0.965 489.677 567.773 523.219
0.707 0.965 567.773 657.198 587.498
0.707 0.965 657.198 764.855 704.595
0.707 0.965 764.855 953.648 820.092
0.707 0.965 953.648 1631.679 1293.665
0.707 0.965 1631.679 2279.315 1888.336
0.707 0.965 2279.315 2918.405 2503.135
0.707 0.965 2918.405 3591.220 3184.892
0.707 0.965 3591.220 4268.814 3880.332
0.707 0.965 4268.814 4999.994 4522.630
