Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.453 0.498 452.361 726.184 2262.616 
0.452 0.498 727.169 1661.499 2903.424 
0.452 0.498 1664.569 3061.286 3682.194 
0.452 0.498 3067.509 4995.182 4357.792 
0.498 0.538 1.781 16.078 6.822 
0.498 0.538 16.103 32.555 12.290 
0.498 0.538 32.578 66.400 17.853 
0.498 0.538 66.457 185.883 26.497 
0.498 0.538 186.110 341.766 36.490 
0.498 0.538 342.069 525.858 59.682 
0.498 0.538 526.606 811.067 144.822 
0.498 0.538 812.503 1835.686 256.671 
0.498 0.538 1837.320 3194.660 328.821 
0.498 0.538 3201.345 4999.566 391.894 
0.538 0.576 2.152 15.960 471.128 
0.538 0.576 16.122 32.454 552.467 
0.538 0.576 32.480 72.134 658.648 
0.538 0.576 72.261 232.613 771.571 
0.538 0.576 232.946 391.135 1168.625 
0.538 0.576 391.927 571.416 1782.771 
0.538 0.576 571.985 861.313 2373.481 
0.538 0.575 864.808 1963.888 3021.929 
0.538 0.576 1969.551 3338.373 3562.313 
0.538 0.575 3342.295 4998.741 4275.153 
0.576 0.613 1.781 16.119 7.035 
0.576 0.613 16.162 32.068 12.492 
0.576 0.613 32.119 78.262 18.133 
0.576 0.613 78.535 275.747 26.429 
0.576 0.613 276.204 428.650 36.970 
0.576 0.613 428.850 607.798 63.944 
0.576 0.613 608.356 905.546 189.161 
0.576 0.613 906.758 2076.583 283.062 
0.576 0.613 2078.822 3443.613 351.233 
0.576 0.613 3447.103 4990.401 418.728 
0.614 0.655 1.982 16.178 489.283 
0.614 0.655 16.184 32.077 575.175 
0.614 0.655 32.145 86.891 664.562 
0.614 0.655 87.700 307.869 800.681 
0.614 0.655 308.391 451.049 1243.019 
0.613 0.655 451.410 626.300 1844.260 
0.614 0.655 627.118 926.815 2491.625 
0.614 0.655 929.060 2144.268 3100.926 
0.614 0.655 2149.229 3472.303 3717.481 
0.614 0.655 3478.486 4999.599 4456.059 
0.655 0.710 2.274 16.222 7.044 
0.655 0.709 16.291 31.245 12.238 
0.655 0.709 31.345 97.618 18.374 
0.655 0.710 98.235 331.604 25.919 
0.655 0.709 331.831 471.772 35.172 
0.655 0.710 472.296 643.293 71.998 
0.655 0.710 643.841 945.847 206.349 
0.655 0.709 950.429 2221.376 305.932 
0.655 0.709 2224.675 3544.920 372.175 
0.655 0.709 3545.656 4998.425 441.679 
0.710 0.955 2.183 15.976 514.733 
0.710 0.933 16.014 29.999 593.957 
0.710 0.905 30.070 119.285 709.703 
0.710 0.918 121.296 347.255 835.780 
0.710 0.948 348.114 489.889 1272.051 
0.710 0.890 490.554 657.171 1916.973 
0.710 0.923 657.571 952.643 2533.115 
0.710 0.934 954.883 2274.768 3208.544 
0.710 0.930 2281.797 3588.895 3809.924 
0.710 0.926 3591.263 4999.558 4584.194 
