Agg-Agg collection for the random orientation. 
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Characteristic value taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.405 0.424 1570.741 2866.375 -0.046 
0.405 0.424 2867.239 4999.310 -0.026 
0.424 0.441 2.614 26.657 -0.089 
0.424 0.441 26.700 52.308 -0.042 
0.424 0.441 52.400 89.550 -0.229 
0.424 0.441 89.656 164.268 -0.027 
0.424 0.441 164.479 302.963 -0.033 
0.424 0.441 303.636 520.160 -0.118 
0.424 0.441 520.623 857.691 -0.024 
0.424 0.441 858.982 1536.120 -0.184 
0.424 0.441 1543.654 2876.307 -0.043 
0.424 0.441 2884.558 4999.428 -0.053 
0.441 0.458 2.287 26.568 -0.227 
0.441 0.458 26.639 52.398 -0.062 
0.441 0.458 52.426 89.007 -0.027 
0.441 0.458 89.248 162.263 -0.044 
0.441 0.458 162.714 304.141 -0.048 
0.441 0.458 304.608 523.778 -0.027 
0.441 0.458 525.263 857.556 -0.254 
0.441 0.458 857.693 1539.428 -0.253 
0.441 0.458 1543.882 2859.107 -0.007 
0.441 0.458 2873.278 4994.033 -0.028 
0.458 0.474 2.337 26.550 -0.103 
0.458 0.474 26.684 52.515 -0.081 
0.458 0.474 52.705 88.612 -0.028 
0.458 0.474 88.664 159.904 -0.011 
0.458 0.474 160.076 299.166 -0.107 
0.458 0.474 299.547 520.794 -0.032 
0.458 0.474 521.482 850.216 -0.047 
0.458 0.474 851.707 1518.743 -0.198 
0.458 0.474 1520.942 2860.303 -0.029 
0.458 0.474 2866.814 4999.790 -0.044 
0.474 0.490 2.470 26.491 -0.031 
0.474 0.490 26.542 52.737 -0.164 
0.474 0.490 52.811 88.223 -0.117 
0.474 0.490 88.419 158.647 -0.105 
0.474 0.490 158.942 298.121 -0.023 
0.474 0.490 298.287 518.085 -0.019 
0.474 0.490 519.230 839.836 -0.198 
0.474 0.490 840.281 1490.245 -0.260 
0.474 0.490 1494.399 2811.652 -0.023 
0.474 0.490 2814.237 4999.141 -0.030 
0.490 0.506 2.449 26.616 -0.101 
0.490 0.506 26.641 52.665 -0.017 
0.490 0.506 52.695 87.969 -0.039 
0.490 0.506 88.170 157.571 -0.024 
0.490 0.506 158.296 297.050 -0.089 
0.490 0.506 298.330 520.301 -0.004 
0.490 0.506 521.112 844.236 -0.027 
0.490 0.506 846.682 1510.732 -0.023 
0.490 0.506 1513.502 2805.598 -0.017 
0.490 0.506 2819.506 4998.264 -0.254 
0.506 0.522 2.320 26.483 -0.087 
0.506 0.522 26.647 52.645 -0.198 
0.506 0.522 52.698 87.551 -0.025 
0.506 0.522 87.559 154.791 -0.022 
0.506 0.522 155.241 296.602 -0.020 
0.506 0.522 297.032 524.436 -0.058 
0.506 0.522 524.782 841.781 -0.014 
0.506 0.522 843.525 1486.579 -0.162 
0.506 0.522 1491.770 2802.978 -0.030 
0.506 0.522 2805.031 4998.769 -0.075 
0.522 0.539 2.138 26.864 -0.062 
0.522 0.539 26.886 52.694 -0.060 
0.522 0.539 52.766 87.241 -0.024 
0.522 0.539 87.390 155.381 -0.242 
0.522 0.539 155.675 296.006 -0.168 
0.522 0.539 297.485 520.595 -0.094 
0.522 0.539 520.644 837.043 -0.023 
0.522 0.539 840.481 1477.784 -0.014 
0.522 0.539 1482.821 2801.548 -0.190 
0.522 0.539 2803.070 4993.758 -0.181 
0.539 0.557 2.014 27.050 -0.029 
0.539 0.557 27.285 53.252 -0.017 
0.539 0.557 53.302 87.458 -0.078 
0.539 0.557 87.506 154.580 -0.084 
0.539 0.557 155.254 296.738 -0.106 
0.539 0.557 297.455 521.863 -0.190 
0.539 0.557 522.723 832.531 -0.209 
0.539 0.557 835.390 1469.604 -0.196 
0.539 0.557 1471.106 2789.440 -0.127 
0.539 0.557 2797.336 4999.236 -0.027 
0.557 0.576 2.263 27.698 -0.048 
0.557 0.576 27.748 53.691 -0.037 
0.557 0.576 53.725 88.179 -0.025 
0.557 0.576 88.269 155.568 -0.017 
0.557 0.576 155.628 298.091 -0.070 
0.557 0.576 299.311 527.658 -0.017 
0.557 0.576 528.688 836.167 -0.025 
0.557 0.576 837.635 1455.756 -0.115 
0.557 0.576 1457.929 2792.507 -0.091 
0.557 0.576 2798.217 4998.231 -0.141 
0.576 0.598 2.144 28.394 -0.089 
0.576 0.598 28.460 54.498 -0.039 
0.576 0.598 54.543 88.212 -0.103 
0.576 0.598 88.260 156.911 -0.060 
0.576 0.598 157.524 303.565 -0.123 
0.576 0.598 304.316 529.833 -0.158 
0.576 0.598 530.536 842.207 -0.005 
0.576 0.598 843.112 1459.265 -0.039 
0.576 0.598 1461.708 2815.397 -0.032 
0.576 0.598 2824.316 4996.058 -0.020 
0.598 0.623 2.363 28.598 -0.065 
0.598 0.623 28.673 54.622 -0.021 
0.598 0.623 54.648 87.375 -0.118 
0.598 0.623 87.523 155.378 -0.096 
0.598 0.623 156.403 300.578 -0.060 
0.598 0.623 300.872 524.497 -0.136 
0.598 0.623 525.024 827.957 -0.030 
0.598 0.623 828.673 1431.665 -0.043 
0.598 0.623 1432.563 2820.781 -0.171 
0.598 0.623 2821.941 4990.706 -0.026 
0.623 0.654 2.494 29.131 -0.022 
0.623 0.655 29.172 55.162 -0.079 
0.623 0.655 55.200 87.174 -0.069 
0.623 0.655 87.405 154.911 -0.017 
0.623 0.654 155.585 305.593 -0.081 
0.623 0.655 305.938 531.824 -0.003 
0.623 0.655 532.457 837.831 -0.024 
0.623 0.655 839.492 1444.996 -0.216 
0.623 0.655 1450.268 2832.139 -0.093 
0.623 0.655 2835.462 4997.707 -0.022 
0.655 0.701 3.266 29.310 -0.365 
0.655 0.701 29.358 54.864 -0.215 
0.655 0.701 54.865 87.152 -0.019 
0.655 0.701 87.186 155.507 -0.148 
0.655 0.701 155.736 307.419 -0.139 
0.655 0.701 308.280 533.837 -0.048 
0.655 0.701 535.600 828.086 -0.106 
0.655 0.701 829.995 1419.066 -0.077 
0.655 0.701 1426.100 2823.562 -0.015 
0.655 0.701 2828.765 4997.182 -0.028 
0.701 0.906 2.736 29.466 -0.017 
0.701 0.921 29.530 54.687 -0.019 
0.701 0.923 54.744 86.369 -0.018 
0.701 0.927 86.492 153.429 -0.071 
0.701 0.891 153.598 303.008 -0.147 
0.701 0.906 304.687 527.448 -0.016 
0.701 0.918 528.351 816.270 -0.024 
0.701 0.948 817.775 1417.398 -0.176 
0.701 0.946 1419.144 2823.182 -0.018 
0.701 0.924 2827.505 4996.084 -0.080 
