Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.398 0.452 25.784 34.248 25.946 
0.398 0.452 34.248 44.927 33.608 
0.398 0.452 44.927 56.780 44.796 
0.398 0.452 56.780 70.310 56.908 
0.398 0.452 70.310 89.558 67.005 
0.398 0.452 89.558 130.778 92.059 
0.398 0.452 130.778 202.553 151.154 
0.398 0.452 202.553 272.038 204.751 
0.398 0.452 272.038 353.362 284.458 
0.398 0.452 353.362 461.177 367.954 
0.398 0.452 461.177 604.777 475.743 
0.398 0.452 604.777 826.131 658.081 
0.398 0.452 826.131 1320.381 874.475 
0.398 0.452 1320.381 2067.704 1453.922 
0.398 0.452 2067.704 2872.084 2174.424 
0.398 0.452 2872.084 3812.388 2960.161 
0.398 0.452 3812.388 4999.599 4052.971 
0.452 0.498 1.670 9.367 6.122 
0.452 0.498 9.367 16.531 12.003 
0.452 0.498 16.531 24.035 17.595 
0.452 0.498 24.035 33.218 25.153 
0.452 0.498 33.218 45.790 35.716 
0.452 0.498 45.790 60.861 47.098 
0.452 0.498 60.861 81.781 64.197 
0.452 0.498 81.781 126.984 87.524 
0.452 0.498 126.984 204.716 155.324 
0.452 0.498 204.716 276.546 224.094 
0.452 0.498 276.546 355.455 294.778 
0.452 0.498 355.455 452.330 378.921 
0.452 0.498 452.330 566.922 476.145 
0.452 0.498 566.922 726.229 566.837 
0.452 0.498 726.229 1019.100 796.915 
0.452 0.498 1019.100 1663.862 1182.042 
0.452 0.498 1663.862 2339.140 1775.539 
0.452 0.498 2339.140 3063.662 2493.976 
0.452 0.498 3063.662 3949.735 3250.414 
0.452 0.498 3949.735 4999.954 4148.517 
0.498 0.538 1.734 9.181 5.858 
0.498 0.538 9.181 16.084 11.377 
0.498 0.538 16.084 23.142 18.379 
0.498 0.538 23.142 32.571 25.734 
0.498 0.538 32.571 46.653 36.214 
0.498 0.538 46.653 66.438 50.087 
0.498 0.538 66.438 99.568 73.383 
0.498 0.538 99.568 185.886 130.166 
0.498 0.538 185.886 264.054 212.508 
0.498 0.538 264.054 342.002 276.503 
0.498 0.538 342.002 427.601 344.439 
0.498 0.538 427.601 526.427 456.955 
0.498 0.538 526.427 647.271 547.552 
0.498 0.538 647.271 811.763 674.575 
0.498 0.538 811.763 1204.616 902.824 
0.498 0.538 1204.616 1836.362 1446.779 
0.498 0.538 1836.362 2491.761 1897.128 
0.498 0.538 2491.761 3198.856 2657.465 
0.498 0.538 3198.856 4033.151 3274.290 
0.498 0.538 4033.151 4999.882 4197.735 
0.538 0.576 1.749 9.162 6.250 
0.538 0.576 9.162 15.986 11.920 
0.538 0.576 15.986 22.858 17.288 
0.538 0.576 22.858 32.463 26.084 
0.538 0.576 32.463 48.144 36.490 
0.538 0.576 48.144 72.154 54.705 
0.538 0.576 72.154 137.743 87.272 
0.538 0.576 137.743 232.860 179.199 
0.538 0.576 232.860 314.576 258.379 
0.538 0.576 314.576 391.492 333.670 
0.538 0.576 391.492 475.831 409.112 
0.538 0.576 475.831 571.665 496.388 
0.538 0.576 571.665 689.631 590.096 
0.538 0.576 689.631 861.632 722.815 
0.538 0.576 861.632 1352.071 959.223 
0.538 0.576 1352.071 1965.920 1619.653 
0.538 0.576 1965.920 2622.367 2075.077 
0.538 0.576 2622.367 3341.513 2689.707 
0.538 0.576 3341.513 4119.360 3524.666 
0.538 0.576 4119.360 4999.966 4270.855 
0.576 0.613 1.779 9.154 6.734 
0.576 0.613 9.154 16.146 11.473 
0.576 0.613 16.146 22.960 18.441 
0.576 0.613 22.960 32.091 25.899 
0.576 0.613 32.091 48.701 37.327 
0.576 0.613 48.701 78.477 61.213 
0.576 0.613 78.477 178.913 121.090 
0.576 0.613 178.913 276.154 210.366 
0.576 0.613 276.154 352.705 291.166 
0.576 0.613 352.705 428.712 372.122 
0.576 0.613 428.712 510.845 450.193 
0.576 0.613 510.845 608.037 524.162 
0.576 0.613 608.037 722.617 601.551 
0.576 0.613 722.617 906.517 750.419 
0.576 0.613 906.517 1490.672 1068.430 
0.576 0.613 1490.672 2077.182 1686.938 
0.576 0.613 2077.182 2736.220 2262.616 
0.576 0.613 2736.220 3444.622 2903.424 
0.576 0.613 3444.622 4189.936 3682.194 
0.576 0.613 4189.936 4999.755 4357.792 
0.613 0.655 1.753 9.143 6.822 
0.613 0.655 9.143 16.182 12.290 
0.613 0.655 16.182 23.143 17.853 
0.613 0.655 23.143 32.109 26.497 
0.613 0.655 32.109 48.990 36.490 
0.613 0.655 48.990 87.391 59.682 
0.613 0.655 87.391 217.669 144.822 
0.613 0.655 217.669 308.081 256.671 
0.613 0.655 308.081 378.701 328.821 
0.613 0.655 378.701 451.160 391.894 
0.613 0.655 451.160 533.589 471.128 
0.613 0.655 533.589 626.580 552.467 
0.613 0.655 626.580 740.137 658.648 
0.613 0.655 740.137 928.761 771.571 
0.613 0.655 928.761 1558.707 1168.625 
0.613 0.655 1558.707 2148.801 1782.771 
0.613 0.655 2148.801 2804.452 2373.481 
0.613 0.655 2804.452 3478.422 3021.929 
0.613 0.655 3478.422 4206.249 3562.313 
0.613 0.655 4206.249 4999.985 4275.153 
0.655 0.710 1.792 9.168 7.035 
0.655 0.710 9.168 16.248 12.492 
0.655 0.710 16.248 22.991 18.133 
0.655 0.710 22.991 31.310 26.429 
0.655 0.710 31.310 48.135 36.970 
0.655 0.710 48.135 98.217 63.944 
0.655 0.710 98.217 249.189 189.161 
0.655 0.710 249.189 331.758 283.062 
0.655 0.710 331.758 399.447 351.233 
0.655 0.710 399.447 471.844 418.728 
0.655 0.710 471.844 552.569 489.283 
0.655 0.710 552.569 643.403 575.175 
0.655 0.710 643.403 755.963 664.562 
0.655 0.710 755.963 948.312 800.681 
0.655 0.710 948.312 1602.564 1243.019 
0.655 0.710 1602.564 2223.406 1844.260 
0.655 0.710 2223.406 2860.675 2491.625 
0.655 0.710 2860.675 3544.950 3100.926 
